순,이름,팀/포지션,정렬용,타석,투구수,P/PA,루킹,헛스윙,파울,타격,투구S%,투구B%,배트적극성_전체,배트적극성_초구,컨택%,2S후커트%,2S후선구%,스윙삼진,루킹삼진,LSO%,배팅찬스N,배팅찬스스윙,배팅찬스W%
1,박민석,23KSS, 5.75 , 4 , 23 , 5.75 , 38.5 , 7.7 , 46.2 , 7.7 , 56.5 , 43.5 , 34.8 , 25.0 , 87.5 , 40.0 , 37.5 , 1 , 2 , 66.7 , 12 , 2 , 16.7 
2,신성현,23두1B, 5.07 , 15 , 76 , 5.07 , 22.0 , 26.8 , 31.7 , 19.5 , 54.0 , 46.1 , 42.1 , 20.0 , 65.6 , 69.2 , 38.1 , 4 , 0 , 0.0 , 50 , 6 , 12.0 
3,박형준,23롯, 5.00 , 1 , 5 , 5.00 , 50.0 , 25.0 , 25.0 , 0.0 , 80.0 , 20.0 , 40.0 , 100.0 , 50.0 , 50.0 , 33.3 , 0 , 1 , 100.0 , 0 , 0 ,  
,전준호,23LC, 5.00 , 1 , 5 , 5.00 , 0.0 , 0.0 , 66.7 , 33.3 , 60.0 , 40.0 , 60.0 , 100.0 , 100.0 , 100.0 , 50.0 , 0 , 0 ,  , 0 , 0 ,  
5,문상준,23K2B, 4.80 , 5 , 24 , 4.80 , 23.5 , 23.5 , 47.1 , 5.9 , 70.8 , 29.2 , 54.2 , 60.0 , 69.2 , 42.9 , 41.7 , 3 , 1 , 25.0 , 11 , 0 , 0.0 
6,유상빈,23한DH, 4.75 , 8 , 38 , 4.75 , 23.8 , 23.8 , 28.6 , 23.8 , 55.3 , 44.7 , 42.1 , 25.0 , 68.8 , 87.5 , 46.7 , 1 , 0 , 0.0 , 12 , 0 , 0.0 
7,홍종표,23K2B, 4.67 , 12 , 56 , 4.67 , 29.0 , 12.9 , 35.5 , 22.6 , 55.4 , 44.6 , 39.3 , 25.0 , 81.8 , 87.5 , 50.0 , 1 , 0 , 0.0 , 14 , 2 , 14.3 
,김동혁,23롯RF, 4.67 , 9 , 42 , 4.67 , 28.0 , 16.0 , 40.0 , 16.0 , 59.5 , 40.5 , 42.9 , 22.2 , 77.8 , 70.0 , 33.3 , 2 , 1 , 33.3 , 2 , 1 , 50.0 
,송대현,23LSS, 4.67 , 3 , 14 , 4.67 , 9.1 , 36.4 , 45.5 , 9.1 , 78.6 , 21.4 , 71.4 , 33.3 , 60.0 , 60.0 , 16.7 , 2 , 0 , 0.0 , 0 , 0 ,  
10,김준완,23키LF, 4.63 , 225 , 1041 , 4.63 , 47.1 , 9.6 , 21.8 , 21.5 , 63.0 , 37.0 , 33.3 , 13.8 , 81.8 , 75.9 , 36.0 , 36 , 21 , 36.8 , 252 , 6 , 2.4 
11,윤정빈,23삼1B, 4.58 , 43 , 197 , 4.58 , 32.8 , 22.1 , 27.1 , 18.0 , 61.9 , 38.1 , 41.6 , 20.9 , 67.1 , 72.7 , 30.2 , 9 , 3 , 25.0 , 53 , 4 , 7.6 
12,오선우,23K1B, 4.55 , 31 , 141 , 4.55 , 26.2 , 35.7 , 22.6 , 15.5 , 59.6 , 40.4 , 44.0 , 38.7 , 51.6 , 44.4 , 42.6 , 9 , 6 , 40.0 , 40 , 4 , 10.0 
13,홍현빈,23KCF, 4.55 , 86 , 391 , 4.55 , 35.3 , 12.1 , 31.7 , 20.9 , 63.7 , 36.3 , 41.2 , 19.8 , 81.4 , 78.4 , 34.9 , 14 , 7 , 33.3 , 33 , 3 , 9.1 
14,이병헌,23삼C, 4.52 , 33 , 149 , 4.52 , 27.8 , 23.7 , 28.9 , 19.6 , 65.1 , 34.9 , 47.0 , 39.4 , 67.1 , 67.7 , 37.0 , 8 , 3 , 27.3 , 25 , 1 , 4.0 
15,오그레디,23한LF, 4.44 , 86 , 382 , 4.44 , 19.1 , 30.2 , 34.5 , 16.3 , 66.0 , 34.0 , 53.4 , 36.1 , 62.8 , 58.1 , 27.3 , 34 , 6 , 15.0 , 163 , 11 , 6.8 
16,김범석,23L1B, 4.41 , 29 , 128 , 4.41 , 16.5 , 18.8 , 37.7 , 27.1 , 66.4 , 33.6 , 55.5 , 24.1 , 77.5 , 84.9 , 32.7 , 5 , 0 , 0.0 , 23 , 1 , 4.4 
17,박준영,23두3B, 4.41 , 138 , 609 , 4.41 , 26.5 , 20.0 , 35.5 , 18.0 , 67.5 , 32.5 , 49.6 , 23.2 , 72.9 , 67.7 , 24.8 , 39 , 14 , 26.4 , 129 , 12 , 9.3 
18,서동욱,23롯RF, 4.40 , 20 , 88 , 4.40 , 24.5 , 20.8 , 32.1 , 22.6 , 60.2 , 39.8 , 45.5 , 40.0 , 72.5 , 68.8 , 38.5 , 1 , 4 , 80.0 , 15 , 3 , 20.0 
19,권희동,23NLF, 4.40 , 373 , 1641 , 4.40 , 35.2 , 8.4 , 29.6 , 26.9 , 60.8 , 39.2 , 39.4 , 15.3 , 87.0 , 84.6 , 37.2 , 38 , 12 , 24.0 , 526 , 33 , 6.3 
20,박경수,23K2B, 4.40 , 221 , 972 , 4.40 , 30.2 , 17.9 , 27.1 , 24.8 , 59.7 , 40.3 , 41.7 , 25.8 , 74.3 , 74.7 , 42.0 , 37 , 9 , 19.6 , 249 , 14 , 5.6 
21,오선진,23한SS, 4.39 , 199 , 873 , 4.39 , 36.5 , 10.6 , 28.1 , 24.8 , 62.8 , 37.2 , 39.9 , 9.6 , 83.3 , 82.5 , 36.9 , 24 , 10 , 29.4 , 207 , 11 , 5.3 
22,김도환,23삼C, 4.38 , 8 , 35 , 4.38 , 27.3 , 4.6 , 36.4 , 31.8 , 62.9 , 37.1 , 45.7 , 37.5 , 93.8 , 128.6 , 41.7 , 0 , 0 ,  , 0 , 0 ,  
23,최원준,23K1B, 4.35 , 274 , 1191 , 4.35 , 35.2 , 7.6 , 30.2 , 27.0 , 63.4 , 36.6 , 41.1 , 21.5 , 88.3 , 84.1 , 30.5 , 24 , 15 , 38.5 , 314 , 18 , 5.7 
24,이시원,23KRF, 4.31 , 32 , 138 , 4.31 , 25.0 , 10.2 , 37.5 , 27.3 , 63.8 , 36.2 , 47.8 , 21.9 , 86.4 , 80.7 , 41.5 , 4 , 2 , 33.3 , 46 , 3 , 6.5 
25,이진영,23한RF, 4.29 , 422 , 1812 , 4.29 , 32.1 , 20.8 , 25.7 , 21.4 , 62.0 , 38.0 , 42.1 , 24.6 , 69.3 , 65.1 , 33.8 , 95 , 32 , 25.2 , 579 , 44 , 7.6 
26,신본기,23KSS, 4.29 , 75 , 322 , 4.29 , 29.6 , 14.0 , 29.0 , 27.4 , 57.8 , 42.2 , 40.7 , 28.0 , 80.2 , 84.0 , 51.0 , 5 , 3 , 37.5 , 129 , 3 , 2.3 
27,박주홍,23키1B, 4.28 , 57 , 244 , 4.28 , 29.1 , 33.1 , 20.3 , 17.6 , 60.7 , 39.3 , 43.0 , 14.0 , 53.3 , 40.9 , 40.5 , 20 , 6 , 23.1 , 94 , 8 , 8.5 
28,조용호,23KRF, 4.28 , 184 , 787 , 4.28 , 28.0 , 10.3 , 34.4 , 27.4 , 63.2 , 36.9 , 45.5 , 25.0 , 85.8 , 84.2 , 35.5 , 17 , 8 , 32.0 , 95 , 6 , 6.3 
29,최주환,23S2B, 4.28 , 478 , 2044 , 4.28 , 29.4 , 11.6 , 33.2 , 25.9 , 63.5 , 36.5 , 44.9 , 16.3 , 83.6 , 79.2 , 28.0 , 82 , 12 , 12.8 , 673 , 60 , 8.9 
30,김재성,23삼C, 4.27 , 125 , 534 , 4.27 , 34.4 , 15.1 , 28.4 , 22.1 , 59.4 , 40.6 , 39.0 , 20.0 , 76.9 , 68.3 , 35.7 , 26 , 5 , 16.1 , 180 , 15 , 8.3 
31,정은원,23한2B, 4.27 , 459 , 1960 , 4.27 , 40.8 , 9.8 , 21.5 , 27.9 , 58.8 , 41.2 , 34.8 , 11.1 , 83.4 , 78.7 , 40.8 , 50 , 23 , 31.5 , 670 , 39 , 5.8 
32,오장한,23NRF, 4.25 , 8 , 34 , 4.25 , 22.7 , 36.4 , 31.8 , 9.1 , 64.7 , 35.3 , 50.0 , 25.0 , 52.9 , 37.5 , 27.3 , 5 , 0 , 0.0 , 12 , 0 , 0.0 
,고명준,23S1B, 4.25 , 4 , 17 , 4.25 , 35.7 , 42.9 , 14.3 , 7.1 , 82.4 , 17.7 , 52.9 , 25.0 , 33.3 , 50.0 , 25.0 , 2 , 1 , 33.3 , 0 , 0 ,  
34,박승욱,23롯2B, 4.25 , 338 , 1436 , 4.25 , 30.0 , 17.3 , 28.6 , 24.1 , 62.1 , 37.9 , 43.5 , 29.9 , 75.3 , 70.0 , 37.8 , 64 , 23 , 26.4 , 386 , 29 , 7.5 
35,김규성,23K2B, 4.24 , 177 , 751 , 4.24 , 28.5 , 16.1 , 30.2 , 25.2 , 63.5 , 36.5 , 45.4 , 32.2 , 77.4 , 73.3 , 39.0 , 30 , 13 , 30.2 , 191 , 25 , 13.1 
,김웅빈,23키1B, 4.24 , 74 , 314 , 4.24 , 31.0 , 16.2 , 29.4 , 23.4 , 62.7 , 37.3 , 43.3 , 25.7 , 76.5 , 70.6 , 26.9 , 12 , 8 , 40.0 , 77 , 10 , 13.0 
37,최재훈,23한C, 4.24 , 417 , 1769 , 4.24 , 41.1 , 6.8 , 25.0 , 27.1 , 60.5 , 39.5 , 35.7 , 6.0 , 88.4 , 84.2 , 41.0 , 33 , 15 , 31.3 , 449 , 13 , 2.9 
38,송민섭,23KRF, 4.24 , 25 , 106 , 4.24 , 20.8 , 19.4 , 38.9 , 20.8 , 67.9 , 32.1 , 53.8 , 32.0 , 75.4 , 70.4 , 27.0 , 6 , 2 , 25.0 , 24 , 2 , 8.3 
39,김호재,23삼3B, 4.24 , 127 , 538 , 4.24 , 31.2 , 11.6 , 27.8 , 29.5 , 65.6 , 34.4 , 45.2 , 19.7 , 83.1 , 86.3 , 29.1 , 14 , 3 , 17.7 , 204 , 8 , 3.9 
40,정수빈,23두CF, 4.22 , 583 , 2462 , 4.22 , 36.1 , 7.1 , 27.3 , 29.4 , 61.9 , 38.1 , 39.6 , 16.6 , 88.9 , 86.7 , 30.8 , 52 , 11 , 17.5 , 937 , 57 , 6.1 
,김강민,23SCF, 4.22 , 166 , 701 , 4.22 , 26.6 , 19.8 , 29.2 , 24.5 , 60.6 , 39.4 , 44.5 , 22.9 , 73.1 , 73.3 , 31.5 , 35 , 3 , 7.9 , 273 , 21 , 7.7 
42,이유찬,23두2B, 4.22 , 239 , 1009 , 4.22 , 31.0 , 12.9 , 30.7 , 25.5 , 64.0 , 36.0 , 44.2 , 21.8 , 81.4 , 78.4 , 26.7 , 44 , 7 , 13.7 , 250 , 18 , 7.2 
43,김형준,23NC, 4.22 , 82 , 346 , 4.22 , 32.4 , 22.9 , 21.4 , 23.3 , 60.7 , 39.3 , 41.0 , 24.4 , 66.2 , 63.4 , 35.5 , 19 , 5 , 20.8 , 151 , 9 , 6.0 
44,노수광,23한LF, 4.21 , 94 , 396 , 4.21 , 31.5 , 18.3 , 27.2 , 23.0 , 59.3 , 40.7 , 40.7 , 26.6 , 73.3 , 63.5 , 38.3 , 16 , 11 , 40.7 , 157 , 14 , 8.9 
45,김상수,23KSS, 4.20 , 512 , 2152 , 4.20 , 39.6 , 7.7 , 23.7 , 29.0 , 61.9 , 38.1 , 37.4 , 10.7 , 87.3 , 83.0 , 36.6 , 50 , 18 , 26.5 , 515 , 23 , 4.5 
46,장준원,23KSS, 4.20 , 104 , 437 , 4.20 , 30.9 , 16.0 , 27.9 , 25.2 , 60.0 , 40.1 , 41.4 , 28.9 , 76.8 , 69.5 , 38.8 , 14 , 11 , 44.0 , 87 , 5 , 5.8 
47,조현진,23NSS, 4.20 , 5 , 21 , 4.20 , 16.7 , 33.3 , 16.7 , 33.3 , 57.1 , 42.9 , 47.6 , 40.0 , 60.0 , 75.0 , 42.9 , 0 , 1 , 100.0 , 1 , 1 , 100.0 
,전병우,23키1B, 4.20 , 75 , 315 , 4.20 , 33.9 , 24.7 , 22.0 , 19.4 , 59.1 , 41.0 , 39.1 , 30.7 , 62.6 , 50.0 , 37.8 , 20 , 8 , 28.6 , 78 , 6 , 7.7 
49,강백호,23KDH, 4.19 , 271 , 1135 , 4.19 , 30.0 , 17.1 , 26.1 , 26.8 , 60.8 , 39.2 , 42.6 , 25.1 , 75.6 , 74.3 , 28.2 , 47 , 8 , 14.6 , 472 , 39 , 8.3 
50,오재일,23삼1B, 4.18 , 364 , 1522 , 4.18 , 16.9 , 27.8 , 32.6 , 22.7 , 60.3 , 39.8 , 50.1 , 43.7 , 66.5 , 61.3 , 37.5 , 96 , 14 , 12.7 , 529 , 48 , 9.1 
51,이형종,23키RF, 4.17 , 374 , 1558 , 4.17 , 29.1 , 16.4 , 28.7 , 25.8 , 60.5 , 39.5 , 42.9 , 23.5 , 76.8 , 73.3 , 36.7 , 58 , 20 , 25.6 , 596 , 51 , 8.6 
52,노시환,23한3B, 4.16 , 595 , 2474 , 4.16 , 26.6 , 16.7 , 30.2 , 26.5 , 60.8 , 39.2 , 44.7 , 20.2 , 77.3 , 75.0 , 38.7 , 96 , 22 , 18.6 , 705 , 59 , 8.4 
53,김휘집,23키SS, 4.15 , 435 , 1807 , 4.15 , 30.4 , 19.1 , 24.7 , 25.9 , 61.0 , 39.0 , 42.5 , 25.5 , 72.6 , 70.4 , 38.0 , 77 , 20 , 20.6 , 541 , 33 , 6.1 
54,홍창기,23LRF, 4.15 , 643 , 2670 , 4.15 , 31.2 , 10.8 , 29.0 , 29.0 , 58.2 , 41.8 , 40.0 , 23.6 , 84.3 , 81.3 , 40.7 , 56 , 27 , 32.5 , 700 , 63 , 9.0 
55,이원석,23한CF, 4.15 , 138 , 572 , 4.15 , 33.9 , 17.0 , 24.4 , 24.7 , 58.7 , 41.3 , 38.8 , 29.7 , 74.3 , 67.3 , 39.9 , 27 , 6 , 18.2 , 131 , 6 , 4.6 
56,김수환,23키1B, 4.14 , 114 , 472 , 4.14 , 26.4 , 25.4 , 27.1 , 21.1 , 63.4 , 36.7 , 46.6 , 36.0 , 65.5 , 58.9 , 37.5 , 23 , 13 , 36.1 , 103 , 11 , 10.7 
57,도태훈,23N3B, 4.13 , 302 , 1247 , 4.13 , 36.4 , 11.5 , 25.0 , 27.2 , 58.8 , 41.2 , 37.4 , 16.6 , 82.0 , 77.9 , 39.0 , 38 , 10 , 20.8 , 363 , 27 , 7.4 
58,마틴,23NCF, 4.13 , 503 , 2076 , 4.13 , 23.8 , 18.5 , 30.9 , 26.9 , 60.6 , 39.5 , 46.2 , 28.2 , 75.8 , 71.1 , 37.3 , 85 , 22 , 20.6 , 631 , 61 , 9.7 
59,김주원,23NSS, 4.12 , 474 , 1955 , 4.12 , 26.1 , 15.7 , 33.0 , 25.2 , 62.8 , 37.2 , 46.4 , 26.0 , 78.7 , 73.8 , 34.8 , 75 , 31 , 29.3 , 562 , 62 , 11.0 
60,로하스,23두LF, 4.12 , 464 , 1913 , 4.12 , 26.1 , 12.6 , 33.1 , 28.3 , 62.5 , 37.5 , 46.2 , 32.1 , 83.0 , 82.7 , 33.7 , 51 , 17 , 25.0 , 601 , 53 , 8.8 
,김주형,23키SS, 4.12 , 81 , 334 , 4.12 , 33.9 , 25.2 , 20.6 , 20.2 , 65.3 , 34.7 , 43.1 , 35.8 , 61.8 , 62.9 , 47.4 , 19 , 8 , 29.6 , 81 , 2 , 2.5 
62,박석민,23N3B, 4.12 , 107 , 441 , 4.12 , 26.5 , 17.8 , 29.9 , 25.8 , 59.9 , 40.1 , 44.0 , 32.7 , 75.8 , 70.1 , 41.7 , 16 , 6 , 27.3 , 112 , 8 , 7.1 
63,렉스,23롯RF, 4.12 , 234 , 963 , 4.12 , 28.5 , 13.5 , 32.0 , 26.1 , 60.1 , 39.9 , 43.0 , 32.1 , 81.2 , 69.5 , 39.4 , 38 , 16 , 29.6 , 350 , 23 , 6.6 
64,변우혁,23K1B, 4.11 , 226 , 928 , 4.11 , 22.9 , 28.8 , 26.5 , 21.8 , 62.2 , 37.8 , 48.0 , 39.8 , 62.7 , 58.6 , 40.1 , 60 , 14 , 18.9 , 153 , 16 , 10.5 
65,류승민,23삼RF, 4.11 , 57 , 234 , 4.11 , 27.0 , 19.0 , 32.5 , 21.5 , 69.7 , 30.3 , 50.9 , 38.6 , 74.0 , 66.7 , 29.4 , 14 , 5 , 26.3 , 62 , 2 , 3.2 
66,김인태,23두RF, 4.10 , 115 , 471 , 4.10 , 33.9 , 14.3 , 26.2 , 25.5 , 60.7 , 39.3 , 40.1 , 24.4 , 78.3 , 67.5 , 41.6 , 16 , 10 , 38.5 , 99 , 15 , 15.2 
,김준태,23KC, 4.10 , 136 , 557 , 4.10 , 30.2 , 15.4 , 29.0 , 25.4 , 59.4 , 40.6 , 41.5 , 30.9 , 77.9 , 69.2 , 35.4 , 20 , 12 , 37.5 , 205 , 15 , 7.3 
,장진혁,23한CF, 4.10 , 178 , 729 , 4.10 , 26.8 , 18.2 , 28.1 , 26.8 , 62.4 , 37.6 , 45.7 , 30.9 , 75.1 , 70.7 , 32.4 , 31 , 10 , 24.4 , 238 , 17 , 7.1 
69,김동헌,23키C, 4.09 , 242 , 990 , 4.09 , 34.4 , 13.1 , 26.9 , 25.6 , 63.9 , 36.1 , 41.9 , 16.5 , 80.0 , 71.8 , 37.5 , 41 , 14 , 25.5 , 215 , 16 , 7.4 
70,한승택,23KC, 4.09 , 104 , 425 , 4.09 , 32.3 , 20.2 , 25.1 , 22.4 , 61.9 , 38.1 , 41.9 , 25.0 , 70.2 , 64.0 , 33.6 , 23 , 9 , 28.1 , 154 , 12 , 7.8 
71,윤동희,23롯RF, 4.08 , 423 , 1727 , 4.08 , 36.0 , 10.3 , 24.0 , 29.8 , 63.3 , 36.7 , 40.5 , 14.4 , 84.0 , 79.2 , 29.4 , 40 , 29 , 42.0 , 624 , 48 , 7.7 
72,박찬혁,23키LF, 4.08 , 167 , 681 , 4.08 , 29.8 , 18.5 , 25.9 , 25.9 , 64.2 , 35.8 , 45.1 , 26.4 , 73.6 , 70.1 , 36.9 , 29 , 12 , 29.3 , 217 , 14 , 6.5 
73,김건희,23키1B, 4.08 , 13 , 53 , 4.08 , 16.1 , 48.4 , 12.9 , 22.6 , 58.5 , 41.5 , 49.1 , 38.5 , 42.3 , 42.9 , 30.0 , 3 , 1 , 25.0 , 24 , 3 , 12.5 
74,박주찬,23N3B, 4.07 , 14 , 57 , 4.07 , 21.6 , 24.3 , 21.6 , 32.4 , 64.9 , 35.1 , 50.9 , 35.7 , 69.0 , 83.3 , 40.0 , 2 , 0 , 0.0 , 33 , 3 , 9.1 
75,구자욱,23삼RF, 4.07 , 515 , 2096 , 4.07 , 26.7 , 15.4 , 29.3 , 28.7 , 62.8 , 37.2 , 46.0 , 27.2 , 79.1 , 79.2 , 33.4 , 68 , 13 , 16.1 , 576 , 41 , 7.1 
76,안주형,23삼2B, 4.07 , 91 , 370 , 4.07 , 20.8 , 20.8 , 32.6 , 25.9 , 63.8 , 36.2 , 50.5 , 48.4 , 73.8 , 72.4 , 39.7 , 15 , 5 , 25.0 , 88 , 3 , 3.4 
77,전의산,23S1B, 4.07 , 153 , 622 , 4.07 , 18.9 , 25.8 , 31.1 , 24.2 , 63.0 , 37.0 , 51.1 , 39.9 , 68.2 , 66.4 , 39.3 , 30 , 10 , 25.0 , 175 , 21 , 12.0 
78,박한결,23NLF, 4.06 , 18 , 73 , 4.06 , 37.8 , 24.4 , 20.0 , 17.8 , 61.6 , 38.4 , 38.4 , 16.7 , 60.7 , 50.0 , 46.2 , 6 , 1 , 14.3 , 28 , 2 , 7.1 
79,이용규,23키LF, 4.05 , 178 , 721 , 4.05 , 27.9 , 5.8 , 37.1 , 29.2 , 64.6 , 35.4 , 46.6 , 27.5 , 92.0 , 87.1 , 28.2 , 16 , 6 , 27.3 , 239 , 9 , 3.8 
80,오지환,23LSS, 4.03 , 502 , 2025 , 4.03 , 25.2 , 18.1 , 26.8 , 29.9 , 57.5 , 42.5 , 43.0 , 29.3 , 75.8 , 73.8 , 43.0 , 66 , 16 , 19.5 , 609 , 71 , 11.7 
81,알포드,23KLF, 4.03 , 547 , 2206 , 4.03 , 23.1 , 22.8 , 28.7 , 25.4 , 63.2 , 36.8 , 48.6 , 32.7 , 70.3 , 66.8 , 35.5 , 116 , 24 , 17.1 , 537 , 54 , 10.1 
,노진혁,23롯SS, 4.03 , 390 , 1573 , 4.03 , 25.2 , 20.0 , 27.8 , 27.0 , 60.7 , 39.4 , 45.4 , 26.2 , 73.3 , 72.1 , 32.5 , 72 , 12 , 14.3 , 507 , 48 , 9.5 
83,신범수,23KC, 4.03 , 100 , 403 , 4.03 , 28.5 , 12.3 , 31.5 , 27.7 , 64.5 , 35.5 , 46.2 , 19.0 , 82.8 , 78.2 , 21.6 , 19 , 0 , 0.0 , 165 , 11 , 6.7 
84,박성한,23SSS, 4.03 , 529 , 2131 , 4.03 , 35.9 , 7.2 , 24.7 , 32.2 , 60.3 , 39.8 , 38.6 , 22.7 , 88.8 , 85.1 , 33.7 , 42 , 14 , 25.0 , 628 , 43 , 6.9 
85,최형우,23KDH, 4.03 , 508 , 2045 , 4.03 , 26.1 , 16.8 , 28.1 , 29.0 , 59.3 , 40.7 , 43.9 , 28.2 , 77.3 , 76.0 , 34.0 , 68 , 15 , 18.1 , 625 , 38 , 6.1 
,고승민,23롯1B, 4.03 , 307 , 1236 , 4.03 , 30.3 , 15.7 , 27.2 , 26.8 , 60.4 , 39.6 , 42.1 , 24.1 , 77.5 , 71.6 , 38.6 , 56 , 8 , 12.5 , 332 , 30 , 9.0 
87,김재환,23두DH, 4.03 , 484 , 1948 , 4.03 , 24.9 , 20.6 , 27.7 , 26.8 , 58.8 , 41.2 , 44.2 , 35.3 , 72.6 , 69.5 , 40.7 , 77 , 23 , 23.0 , 602 , 49 , 8.1 
,구드럼,23롯3B, 4.03 , 201 , 809 , 4.03 , 26.3 , 19.7 , 27.7 , 26.3 , 61.6 , 38.4 , 45.4 , 29.9 , 73.3 , 69.1 , 37.2 , 34 , 12 , 26.1 , 170 , 18 , 10.6 
,황대인,23K1B, 4.03 , 199 , 801 , 4.03 , 24.8 , 20.3 , 30.1 , 24.8 , 63.9 , 36.1 , 48.1 , 27.6 , 73.0 , 68.2 , 39.4 , 40 , 10 , 20.0 , 254 , 22 , 8.7 
90,한유섬,23SRF, 4.02 , 388 , 1560 , 4.02 , 23.4 , 18.3 , 31.0 , 27.2 , 61.5 , 38.5 , 47.1 , 26.6 , 76.1 , 73.3 , 37.9 , 62 , 19 , 23.5 , 505 , 44 , 8.7 
91,이재현,23삼SS, 4.02 , 538 , 2163 , 4.02 , 34.8 , 10.0 , 26.7 , 28.5 , 63.5 , 36.5 , 41.4 , 17.5 , 84.7 , 78.4 , 32.1 , 74 , 15 , 16.9 , 607 , 36 , 5.9 
,양찬열,23두RF, 4.02 , 99 , 398 , 4.02 , 23.0 , 18.0 , 33.7 , 25.3 , 65.6 , 34.4 , 50.5 , 25.3 , 76.6 , 75.0 , 33.8 , 18 , 5 , 21.7 , 119 , 9 , 7.6 
93,김호령,23KCF, 4.02 , 107 , 430 , 4.02 , 24.1 , 22.4 , 32.5 , 21.0 , 66.5 , 33.5 , 50.5 , 40.2 , 70.5 , 60.0 , 33.6 , 29 , 9 , 23.7 , 78 , 6 , 7.7 
94,최준우,23S2B, 4.01 , 69 , 277 , 4.01 , 35.1 , 14.6 , 20.5 , 29.8 , 61.7 , 38.3 , 40.1 , 17.4 , 77.5 , 80.4 , 31.3 , 10 , 0 , 0.0 , 71 , 4 , 5.6 
95,양석환,23두1B, 4.00 , 581 , 2324 , 4.00 , 22.1 , 21.6 , 30.3 , 25.9 , 66.7 , 33.3 , 51.9 , 29.3 , 72.3 , 74.2 , 28.2 , 122 , 11 , 8.3 , 544 , 51 , 9.4 
,김민성,23L2B, 4.00 , 316 , 1264 , 4.00 , 27.6 , 14.5 , 30.7 , 27.1 , 65.9 , 34.1 , 47.7 , 22.8 , 79.9 , 78.6 , 33.0 , 46 , 12 , 20.7 , 273 , 13 , 4.8 
