순,이름,팀/포지션,정렬용,타석,득점,주루기회,RS%,RAA주루,G12_N,G12_%,G23_N,G23_%,G34_N,G34_%,F23_N,F23_%,F34_N,F34_%,H13_N,H13_%,H24_N,H24_%,D14_N,D14_%,EtcAdv,추가진루_N,추가진루_%,추가진루_+-,주루사_N,주루사_%
1,이주형,23L키CF, 4.12 , 243 , 32 , 113 , 23.0 , 4.12 , 0 , 0.0 , 5 , 71.4 , 3 , 100.0 , 1 , 20.0 , 3 , 75.0 , 6 , 42.9 , 4 , 50.0 , 1 , 33.3 , 1 , 24 , 46.2 , 0 , 0 , 0.00 
2,노시환,23한3B, 3.29 , 595 , 85 , 245 , 22.0 , 3.29 , 2 , 22.2 , 8 , 72.7 , 3 , 50.0 , 3 , 37.5 , 3 , 100.0 , 13 , 36.1 , 9 , 69.2 , 5 , 71.4 , 1 , 47 , 50.0 , 4 , 4 , 4.26 
3,박찬호,23KSS, 3.16 , 507 , 73 , 209 , 33.5 , 3.16 , 3 , 15.0 , 11 , 61.1 , 3 , 37.5 , 6 , 46.2 , 6 , 85.7 , 18 , 47.4 , 15 , 79.0 , 6 , 75.0 , 2 , 70 , 52.6 , 9 , 5 , 3.76 
4,이도윤,23한SS, 2.65 , 346 , 36 , 122 , 28.7 , 2.65 , 5 , 31.3 , 4 , 80.0 , 2 , 40.0 , 2 , 66.7 , 1 , 100.0 , 5 , 35.7 , 7 , 77.8 , 7 , 100.0 , 0 , 33 , 55.0 , 7 , 0 , 0.00 
5,소크라테스,23KCF, 2.64 , 608 , 91 , 238 , 29.8 , 2.64 , 4 , 22.2 , 10 , 58.8 , 5 , 62.5 , 1 , 20.0 , 7 , 87.5 , 16 , 42.1 , 19 , 65.5 , 0 , 0.0 , 1 , 63 , 48.8 , 7 , 3 , 2.33 
6,정은원,23한2B, 2.45 , 459 , 50 , 166 , 28.9 , 2.45 , 3 , 15.0 , 3 , 37.5 , 3 , 100.0 , 3 , 37.5 , 6 , 100.0 , 3 , 11.1 , 17 , 85.0 , 3 , 75.0 , 2 , 43 , 43.9 , 0 , 1 , 1.02 
7,박민우,23N2B, 2.35 , 509 , 76 , 218 , 33.9 , 2.35 , 2 , 8.0 , 7 , 77.8 , 6 , 50.0 , 4 , 25.0 , 9 , 90.0 , 13 , 36.1 , 21 , 80.8 , 8 , 72.7 , 5 , 75 , 50.0 , 7 , 4 , 2.67 
8,안권수,23롯LF, 2.20 , 309 , 42 , 136 , 29.4 , 2.20 , 6 , 35.3 , 8 , 88.9 , 4 , 66.7 , 1 , 50.0 , 6 , 100.0 , 12 , 57.1 , 9 , 69.2 , 2 , 33.3 , 1 , 49 , 60.5 , 17 , 2 , 2.47 
9,손아섭,23NDH, 2.03 , 609 , 97 , 268 , 34.3 , 2.03 , 8 , 22.2 , 11 , 73.3 , 6 , 50.0 , 2 , 14.3 , 10 , 100.0 , 13 , 28.9 , 22 , 61.1 , 3 , 50.0 , 5 , 80 , 44.7 , 1 , 4 , 2.24 
10,황재균,23K3B, 1.91 , 457 , 62 , 179 , 31.3 , 1.91 , 5 , 27.8 , 7 , 70.0 , 2 , 100.0 , 2 , 50.0 , 8 , 100.0 , 9 , 31.0 , 15 , 71.4 , 5 , 50.0 , 2 , 55 , 52.9 , 12 , 2 , 1.92 
11,도태훈,23N3B, 1.91 , 302 , 41 , 133 , 27.1 , 1.91 , 3 , 16.7 , 5 , 50.0 , 3 , 60.0 , 3 , 75.0 , 4 , 100.0 , 5 , 22.7 , 10 , 83.3 , 4 , 66.7 , 0 , 37 , 45.7 , 2 , 2 , 2.47 
12,오스틴,23L1B, 1.83 , 583 , 87 , 240 , 26.7 , 1.83 , 2 , 12.5 , 9 , 60.0 , 5 , 83.3 , 0 , 0.0 , 7 , 100.0 , 10 , 35.7 , 14 , 82.4 , 6 , 75.0 , 0 , 53 , 53.0 , 11 , 5 , 5.00 
13,황성빈,23롯LF, 1.83 , 191 , 22 , 72 , 30.6 , 1.83 , 4 , 66.7 , 4 , 66.7 , 1 , 50.0 , 2 , 66.7 , 3 , 100.0 , 5 , 62.5 , 6 , 85.7 , 2 , 66.7 , 0 , 27 , 71.1 , 9 , 0 , 0.00 
14,윤동희,23롯RF, 1.69 , 423 , 45 , 161 , 26.7 , 1.69 , 4 , 17.4 , 8 , 72.7 , 1 , 25.0 , 0 , 0.0 , 5 , 83.3 , 8 , 28.6 , 10 , 90.9 , 3 , 50.0 , 1 , 40 , 41.2 , -1 , 2 , 2.06 
15,김성윤,23삼RF, 1.68 , 272 , 40 , 133 , 28.6 , 1.68 , 6 , 42.9 , 10 , 58.8 , 3 , 42.9 , 2 , 20.0 , 4 , 80.0 , 7 , 29.2 , 7 , 63.6 , 5 , 71.4 , 3 , 47 , 48.0 , 1 , 1 , 1.02 
16,송성문,23키3B, 1.60 , 438 , 43 , 167 , 22.8 , 1.60 , 5 , 21.7 , 4 , 80.0 , 2 , 50.0 , 2 , 50.0 , 3 , 75.0 , 4 , 14.8 , 6 , 60.0 , 1 , 20.0 , 0 , 27 , 32.9 , -6 , 1 , 1.22 
17,최재훈,23한C, 1.60 , 417 , 23 , 169 , 13.0 , 1.60 , 6 , 22.2 , 3 , 37.5 , 0 , 0.0 , 1 , 100.0 , 2 , 100.0 , 2 , 13.3 , 3 , 37.5 , 2 , 50.0 , 0 , 19 , 27.5 , -8 , 0 , 0.00 
18,이창진,23KLF, 1.48 , 284 , 35 , 120 , 25.8 , 1.48 , 1 , 7.1 , 5 , 45.5 , 0 , 0.0 , 3 , 42.9 , 1 , 100.0 , 4 , 25.0 , 8 , 88.9 , 0 , 0.0 , 0 , 22 , 36.7 , -8 , 1 , 1.67 
19,하재훈,23SLF, 1.48 , 229 , 35 , 94 , 29.8 , 1.48 , 4 , 33.3 , 4 , 57.1 , 0 , 0.0 , 0 , 0.0 , 3 , 100.0 , 3 , 30.0 , 9 , 81.8 , 1 , 50.0 , 0 , 24 , 47.1 , -1 , 0 , 0.00 
20,김도영,23K3B, 1.44 , 385 , 72 , 154 , 42.2 , 1.44 , 6 , 60.0 , 10 , 71.4 , 6 , 85.7 , 1 , 14.3 , 3 , 75.0 , 5 , 23.8 , 22 , 81.5 , 5 , 100.0 , 0 , 58 , 61.1 , 10 , 2 , 2.11 
21,장진혁,23한CF, 1.40 , 178 , 24 , 64 , 37.5 , 1.40 , 0 , 0.0 , 4 , 80.0 , 1 , 33.3 , 1 , 25.0 , 2 , 100.0 , 3 , 33.3 , 3 , 100.0 , 4 , 50.0 , 1 , 19 , 48.7 , 1 , 0 , 0.00 
22,정수빈,23두CF, 1.40 , 583 , 75 , 244 , 29.9 , 1.40 , 8 , 29.6 , 10 , 71.4 , 10 , 55.6 , 6 , 31.6 , 9 , 100.0 , 13 , 39.4 , 16 , 72.7 , 1 , 16.7 , 1 , 74 , 49.7 , 2 , 4 , 2.69 
23,최원준,23K1B, 1.39 , 274 , 37 , 118 , 30.5 , 1.39 , 2 , 13.3 , 5 , 83.3 , 4 , 66.7 , 1 , 25.0 , 3 , 100.0 , 5 , 26.3 , 9 , 90.0 , 1 , 16.7 , 0 , 30 , 43.5 , 0 , 1 , 1.45 
24,최지훈,23SCF, 1.35 , 503 , 65 , 185 , 34.1 , 1.35 , 6 , 28.6 , 5 , 50.0 , 4 , 66.7 , 3 , 18.8 , 4 , 80.0 , 7 , 30.4 , 10 , 62.5 , 9 , 90.0 , 0 , 48 , 44.9 , -6 , 4 , 3.74 
25,에레디아,23SLF, 1.31 , 523 , 76 , 227 , 28.2 , 1.31 , 7 , 33.3 , 7 , 70.0 , 6 , 54.6 , 3 , 37.5 , 4 , 80.0 , 13 , 39.4 , 23 , 76.7 , 2 , 28.6 , 1 , 66 , 52.4 , 8 , 5 , 3.97 
26,배정대,23KCF, 1.25 , 361 , 48 , 140 , 32.9 , 1.25 , 2 , 11.1 , 8 , 72.7 , 3 , 75.0 , 1 , 20.0 , 6 , 100.0 , 7 , 28.0 , 13 , 81.3 , 5 , 83.3 , 0 , 45 , 49.5 , 6 , 3 , 3.30 
27,정훈,23롯1B, 1.25 , 233 , 40 , 85 , 40.0 , 1.25 , 1 , 33.3 , 3 , 60.0 , 1 , 33.3 , 0 , 0.0 , 5 , 100.0 , 8 , 61.5 , 7 , 58.3 , 4 , 66.7 , 1 , 30 , 60.0 , 9 , 2 , 4.00 
28,김규성,23K2B, 1.20 , 177 , 29 , 80 , 33.8 , 1.20 , 1 , 12.5 , 4 , 66.7 , 3 , 75.0 , 1 , 25.0 , 2 , 100.0 , 4 , 23.5 , 8 , 72.7 , 2 , 100.0 , 0 , 25 , 46.3 , 0 , 0 , 0.00 
29,김혜성,23키2B, 1.19 , 621 , 104 , 277 , 35.0 , 1.19 , 11 , 40.7 , 12 , 70.6 , 3 , 27.3 , 5 , 41.7 , 9 , 90.0 , 19 , 36.5 , 24 , 77.4 , 7 , 50.0 , 2 , 92 , 52.3 , 15 , 6 , 3.41 
30,김성욱,23NLF, 1.14 , 204 , 28 , 83 , 26.5 , 1.14 , 2 , 33.3 , 3 , 75.0 , 0 , 0.0 , 2 , 22.2 , 1 , 50.0 , 3 , 21.4 , 3 , 60.0 , 0 ,  , 0 , 14 , 33.3 , -8 , 0 , 0.00 
31,이지영,23키C, 1.13 , 237 , 23 , 76 , 30.3 , 1.13 , 1 , 10.0 , 4 , 66.7 , 0 , 0.0 , 1 , 33.3 , 7 , 100.0 , 2 , 22.2 , 6 , 75.0 , 1 , 33.3 , 0 , 22 , 45.8 , 2 , 0 , 0.00 
32,구자욱,23삼RF, 1.11 , 515 , 65 , 222 , 24.3 , 1.11 , 10 , 29.4 , 6 , 42.9 , 6 , 85.7 , 1 , 12.5 , 2 , 100.0 , 7 , 25.9 , 9 , 75.0 , 3 , 42.9 , 2 , 46 , 40.7 , -3 , 4 , 3.54 
33,문성주,23LLF, 1.10 , 534 , 77 , 254 , 29.5 , 1.10 , 13 , 38.2 , 6 , 54.6 , 2 , 50.0 , 1 , 8.3 , 8 , 100.0 , 12 , 36.4 , 28 , 71.8 , 6 , 66.7 , 2 , 78 , 51.3 , 8 , 6 , 3.95 
34,홍현빈,23KCF, 1.09 , 86 , 15 , 37 , 40.5 , 1.09 , 3 , 42.9 , 4 , 80.0 , 1 , 100.0 , 1 , 50.0 , 2 , 100.0 , 2 , 28.6 , 3 , 60.0 , 3 , 75.0 , 0 , 19 , 57.6 , 4 , 0 , 0.00 
35,도슨,23키CF, 1.07 , 261 , 37 , 118 , 28.8 , 1.07 , 4 , 25.0 , 1 , 33.3 , 1 , 25.0 , 2 , 40.0 , 3 , 75.0 , 6 , 50.0 , 11 , 91.7 , 1 , 25.0 , 0 , 29 , 48.3 , 2 , 2 , 3.33 
36,박계범,23두SS, 1.03 , 194 , 18 , 68 , 23.5 , 1.03 , 3 , 42.9 , 6 , 85.7 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 4 , 33.3 , 2 , 66.7 , 1 , 100.0 , 2 , 18 , 50.0 , 3 , 1 , 2.78 
37,김상수,23KSS, 0.96 , 512 , 58 , 204 , 27.0 , 0.96 , 6 , 26.1 , 6 , 60.0 , 3 , 33.3 , 2 , 20.0 , 3 , 75.0 , 8 , 25.8 , 20 , 76.9 , 1 , 25.0 , 4 , 53 , 43.8 , -2 , 4 , 3.31 
38,김성현,23S2B, 0.92 , 354 , 35 , 127 , 26.8 , 0.92 , 6 , 46.2 , 6 , 75.0 , 4 , 57.1 , 1 , 20.0 , 2 , 100.0 , 5 , 29.4 , 9 , 64.3 , 1 , 33.3 , 1 , 35 , 50.0 , 3 , 2 , 2.86 
39,채은성,23한1B, 0.86 , 596 , 71 , 233 , 20.6 , 0.86 , 4 , 18.2 , 5 , 83.3 , 3 , 60.0 , 0 , 0.0 , 3 , 60.0 , 5 , 18.5 , 11 , 64.7 , 6 , 75.0 , 0 , 37 , 38.1 , -5 , 2 , 2.06 
40,변우혁,23K1B, 0.86 , 226 , 23 , 77 , 20.8 , 0.86 , 2 , 25.0 , 2 , 66.7 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 4 , 66.7 , 2 , 66.7 , 0 , 10 , 29.4 , -5 , 0 , 0.00 
41,장승현,23두C, 0.86 , 158 , 11 , 43 , 18.6 , 0.86 , 1 , 25.0 , 1 , 50.0 , 1 , 50.0 , 0 , 0.0 , 1 , 100.0 , 2 , 33.3 , 1 , 33.3 , 0 , 0.0 , 0 , 7 , 31.8 , -3 , 0 , 0.00 
42,최인호,23한LF, 0.82 , 148 , 23 , 62 , 33.9 , 0.82 , 0 , 0.0 , 1 , 16.7 , 2 , 66.7 , 2 , 50.0 , 2 , 100.0 , 4 , 40.0 , 3 , 75.0 , 1 , 100.0 , 0 , 15 , 44.1 , -1 , 1 , 2.94 
43,김재성,23삼C, 0.82 , 125 , 7 , 47 , 12.8 , 0.82 , 0 , 0.0 , 3 , 75.0 , 0 ,  , 0 , 0.0 , 0 ,  , 2 , 50.0 , 0 ,  , 1 , 100.0 , 0 , 6 , 33.3 , -2 , 0 , 0.00 
44,안치영,23KRF, 0.81 , 136 , 20 , 65 , 30.8 , 0.81 , 4 , 40.0 , 3 , 50.0 , 0 ,  , 2 , 50.0 , 3 , 100.0 , 1 , 9.1 , 5 , 83.3 , 1 , 33.3 , 1 , 20 , 45.5 , 1 , 0 , 0.00 
45,구드럼,23롯3B, 0.76 , 201 , 16 , 77 , 20.8 , 0.76 , 1 , 16.7 , 4 , 50.0 , 1 , 100.0 , 0 , 0.0 , 0 ,  , 2 , 22.2 , 9 , 100.0 , 0 , 0.0 , 1 , 18 , 46.2 , -2 , 1 , 2.56 
46,고종욱,23KLF, 0.75 , 286 , 35 , 108 , 29.6 , 0.75 , 2 , 11.8 , 3 , 50.0 , 3 , 100.0 , 1 , 20.0 , 2 , 100.0 , 2 , 15.4 , 12 , 60.0 , 0 , 0.0 , 2 , 27 , 38.0 , -6 , 0 , 0.00 
47,박승욱,23롯2B, 0.74 , 338 , 37 , 141 , 26.2 , 0.74 , 3 , 20.0 , 9 , 81.8 , 2 , 40.0 , 0 , 0.0 , 2 , 66.7 , 4 , 18.2 , 10 , 58.8 , 2 , 66.7 , 0 , 32 , 39.5 , -5 , 1 , 1.24 
48,이정후,23키CF, 0.73 , 387 , 50 , 170 , 25.9 , 0.73 , 8 , 44.4 , 7 , 58.3 , 4 , 66.7 , 2 , 66.7 , 6 , 75.0 , 6 , 21.4 , 10 , 58.8 , 4 , 50.0 , 3 , 50 , 48.5 , 9 , 1 , 0.97 
49,이재원,23LLF, 0.72 , 129 , 15 , 39 , 28.2 , 0.72 , 0 , 0.0 , 1 , 50.0 , 0 ,  , 0 , 0.0 , 1 , 100.0 , 0 , 0.0 , 6 , 85.7 , 0 ,  , 0 , 8 , 40.0 , -3 , 0 , 0.00 
50,박수종,23키RF, 0.72 , 50 , 7 , 30 , 23.3 , 0.72 , 1 , 20.0 , 1 , 100.0 , 0 ,  , 1 , 50.0 , 1 , 100.0 , 1 , 33.3 , 2 , 66.7 , 1 , 100.0 , 0 , 8 , 50.0 , 0 , 0 , 0.00 
51,홍성호,23두RF, 0.71 , 51 , 6 , 18 , 33.3 , 0.71 , 1 , 50.0 , 0 , 0.0 , 0 ,  , 1 , 50.0 , 0 ,  , 3 , 100.0 , 1 , 100.0 , 0 , 0.0 , 0 , 6 , 60.0 , 1 , 0 , 0.00 
52,김현준,23삼CF, 0.70 , 479 , 62 , 184 , 32.1 , 0.70 , 3 , 15.0 , 7 , 87.5 , 2 , 40.0 , 3 , 42.9 , 3 , 100.0 , 7 , 21.9 , 17 , 68.0 , 0 , 0.0 , 1 , 43 , 42.2 , -3 , 4 , 3.92 
53,김휘집,23키SS, 0.68 , 435 , 46 , 163 , 23.3 , 0.68 , 6 , 33.3 , 8 , 61.5 , 6 , 66.7 , 4 , 30.8 , 4 , 80.0 , 3 , 12.5 , 4 , 40.0 , 2 , 40.0 , 0 , 37 , 38.1 , -10 , 1 , 1.03 
54,정주현,23L1B, 0.62 , 101 , 17 , 67 , 23.9 , 0.62 , 4 , 44.4 , 4 , 50.0 , 2 , 100.0 , 0 , 0.0 , 1 , 100.0 , 4 , 44.4 , 5 , 100.0 , 1 , 33.3 , 1 , 22 , 53.7 , 3 , 1 , 2.44 
55,이성규,23삼CF, 0.62 , 162 , 23 , 67 , 32.8 , 0.62 , 4 , 36.4 , 5 , 62.5 , 2 , 100.0 , 1 , 50.0 , 0 ,  , 0 , 0.0 , 6 , 100.0 , 0 ,  , 0 , 18 , 52.9 , 1 , 1 , 2.94 
56,고승민,23롯1B, 0.61 , 307 , 35 , 119 , 27.7 , 0.61 , 5 , 31.3 , 6 , 50.0 , 4 , 57.1 , 1 , 20.0 , 4 , 66.7 , 5 , 27.8 , 8 , 66.7 , 3 , 50.0 , 1 , 37 , 44.6 , 1 , 2 , 2.41 
57,천재환,23NCF, 0.60 , 179 , 12 , 66 , 15.2 , 0.60 , 3 , 23.1 , 3 , 75.0 , 2 , 66.7 , 3 , 100.0 , 2 , 66.7 , 1 , 16.7 , 2 , 66.7 , 1 , 25.0 , 0 , 17 , 43.6 , 1 , 1 , 2.56 
58,정준영,23KCF, 0.60 , 55 , 6 , 26 , 23.1 , 0.60 , 1 , 100.0 , 1 , 100.0 , 1 , 50.0 , 1 , 50.0 , 2 , 100.0 , 2 , 50.0 , 0 ,  , 1 , 100.0 , 0 , 9 , 69.2 , 3 , 0 , 0.00 
59,김호령,23KCF, 0.60 , 107 , 16 , 44 , 36.4 , 0.60 , 2 , 40.0 , 6 , 85.7 , 1 , 100.0 , 0 , 0.0 , 1 , 100.0 , 1 , 25.0 , 5 , 83.3 , 0 ,  , 0 , 16 , 55.2 , -1 , 0 , 0.00 
60,최정용,23K2B, 0.54 , 41 , 17 , 37 , 46.0 , 0.54 , 3 , 50.0 , 2 , 50.0 , 0 , 0.0 , 2 , 66.7 , 2 , 100.0 , 4 , 40.0 , 5 , 83.3 , 0 , 0.0 , 0 , 18 , 54.5 , 3 , 1 , 3.03 
61,오윤석,23K1B, 0.54 , 223 , 24 , 87 , 23.0 , 0.54 , 5 , 45.5 , 4 , 44.4 , 0 , 0.0 , 0 , 0.0 , 2 , 100.0 , 2 , 18.2 , 4 , 44.4 , 0 , 0.0 , 0 , 17 , 35.4 , -5 , 0 , 0.00 
62,홍종표,23K2B, 0.53 , 12 , 10 , 26 , 38.5 , 0.53 , 3 , 60.0 , 1 , 50.0 , 1 , 50.0 , 1 , 100.0 , 1 , 100.0 , 2 , 40.0 , 1 , 25.0 , 0 ,  , 0 , 10 , 50.0 , 1 , 0 , 0.00 
63,피렐라,23삼LF, 0.49 , 605 , 66 , 238 , 21.0 , 0.49 , 5 , 19.2 , 11 , 68.8 , 3 , 42.9 , 0 , 0.0 , 5 , 83.3 , 14 , 46.7 , 7 , 50.0 , 4 , 100.0 , 3 , 52 , 46.8 , 7 , 7 , 6.31 
64,신민재,23L2B, 0.48 , 331 , 47 , 169 , 27.8 , 0.48 , 11 , 50.0 , 6 , 60.0 , 3 , 37.5 , 2 , 33.3 , 6 , 85.7 , 11 , 61.1 , 6 , 46.2 , 3 , 75.0 , 2 , 50 , 55.6 , 12 , 6 , 6.67 
65,배영빈,23롯SS, 0.47 , 18 , 2 , 13 , 15.4 , 0.47 , 1 , 100.0 , 0 ,  , 0 ,  , 0 ,  , 1 , 100.0 , 2 , 100.0 , 1 , 100.0 , 0 ,  , 0 , 5 , 100.0 , 3 , 0 , 0.00 
66,김수환,23키1B, 0.47 , 114 , 8 , 37 , 16.2 , 0.47 , 2 , 28.6 , 2 , 100.0 , 0 ,  , 0 ,  , 0 ,  , 1 , 20.0 , 3 , 75.0 , 0 ,  , 0 , 8 , 44.4 , 1 , 0 , 0.00 
67,박정현,23한SS, 0.46 , 113 , 12 , 32 , 31.3 , 0.46 , 0 , 0.0 , 3 , 75.0 , 1 , 100.0 , 1 , 100.0 , 2 , 66.7 , 2 , 33.3 , 0 , 0.0 , 1 , 100.0 , 0 , 10 , 47.6 , 2 , 0 , 0.00 
68,김대한,23두RF, 0.45 , 89 , 10 , 29 , 31.0 , 0.45 , 0 , 0.0 , 1 , 100.0 , 1 , 100.0 , 1 , 100.0 , 0 ,  , 2 , 33.3 , 2 , 50.0 , 0 ,  , 0 , 7 , 46.7 , 0 , 0 , 0.00 
69,양찬열,23두RF, 0.45 , 99 , 15 , 41 , 36.6 , 0.45 , 1 , 33.3 , 2 , 100.0 , 3 , 100.0 , 0 , 0.0 , 1 , 50.0 , 1 , 33.3 , 2 , 66.7 , 2 , 40.0 , 0 , 12 , 54.5 , 3 , 0 , 0.00 
70,오그레디,23한LF, 0.42 , 86 , 3 , 17 , 17.7 , 0.42 , 1 , 33.3 , 3 , 100.0 , 0 , 0.0 , 0 ,  , 1 , 100.0 , 0 , 0.0 , 0 ,  , 0 ,  , 1 , 6 , 60.0 , 3 , 0 , 0.00 
71,박찬혁,23키LF, 0.41 , 167 , 13 , 55 , 21.8 , 0.41 , 0 , 0.0 , 2 , 33.3 , 0 ,  , 0 , 0.0 , 1 , 100.0 , 0 , 0.0 , 3 , 50.0 , 1 , 33.3 , 0 , 7 , 20.6 , -8 , 0 , 0.00 
72,강현우,23KC, 0.40 , 111 , 11 , 36 , 27.8 , 0.40 , 1 , 33.3 , 3 , 100.0 , 0 ,  , 0 ,  , 0 ,  , 2 , 28.6 , 1 , 50.0 , 0 ,  , 0 , 7 , 46.7 , 1 , 0 , 0.00 
73,오선진,23한SS, 0.40 , 199 , 17 , 73 , 23.3 , 0.40 , 1 , 14.3 , 5 , 100.0 , 1 , 33.3 , 1 , 20.0 , 0 , 0.0 , 4 , 33.3 , 8 , 80.0 , 1 , 100.0 , 0 , 21 , 47.7 , -1 , 2 , 4.55 
74,안상현,23S2B, 0.38 , 66 , 10 , 36 , 27.8 , 0.38 , 3 , 100.0 , 2 , 50.0 , 0 ,  , 1 , 100.0 , 2 , 100.0 , 1 , 25.0 , 0 , 0.0 , 1 , 33.3 , 0 , 10 , 55.6 , 3 , 0 , 0.00 
75,하주석,23한SS, 0.36 , 38 , 4 , 12 , 33.3 , 0.36 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 1 , 50.0 , 1 , 100.0 , 0 ,  , 0 , 2 , 66.7 , 1 , 0 , 0.00 
76,김지찬,23삼2B, 0.36 , 355 , 59 , 164 , 35.4 , 0.36 , 16 , 45.7 , 6 , 85.7 , 1 , 25.0 , 1 , 8.3 , 3 , 75.0 , 15 , 36.6 , 15 , 93.8 , 4 , 66.7 , 1 , 62 , 49.2 , 7 , 4 , 3.18 
77,최경모,23S3B, 0.35 , 20 , 6 , 17 , 35.3 , 0.35 , 0 , 0.0 , 0 ,  , 0 ,  , 2 , 100.0 , 0 ,  , 0 , 0.0 , 2 , 100.0 , 0 , 0.0 , 0 , 4 , 57.1 , -1 , 0 , 0.00 
78,신윤후,23롯LF, 0.31 , 27 , 2 , 15 , 13.3 , 0.31 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 1 , 100.0 , 0 ,  , 0 ,  , 0 , 1 , 33.3 , 0 , 0 , 0.00 
79,김동혁,23롯RF, 0.31 , 9 , 3 , 5 , 60.0 , 0.31 , 0 ,  , 0 ,  , 1 , 100.0 , 0 ,  , 0 ,  , 1 , 50.0 , 0 ,  , 0 ,  , 0 , 2 , 66.7 , 1 , 0 , 0.00 
80,김호재,23삼3B, 0.31 , 127 , 6 , 41 , 14.6 , 0.31 , 1 , 50.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 1 , 100.0 , 1 , 16.7 , 0 ,  , 0 ,  , 0 , 3 , 25.0 , -2 , 0 , 0.00 
81,류현인,23K3B, 0.29 , 24 , 6 , 10 , 60.0 , 0.29 , 0 , 0.0 , 1 , 100.0 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 2 , 100.0 , 0 , 3 , 50.0 , 1 , 0 , 0.00 
82,김영웅,23삼3B, 0.28 , 103 , 11 , 39 , 23.1 , 0.28 , 1 , 16.7 , 1 , 50.0 , 1 , 100.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 1 , 33.3 , 0 , 0.0 , 0 , 4 , 22.2 , -5 , 0 , 0.00 
83,김상민,23삼LF, 0.26 , 13 , 3 , 5 , 60.0 , 0.26 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 1 , 100.0 , 0 , 1 , 100.0 , 1 , 0 , 0.00 
84,윤형준,23N1B, 0.26 , 236 , 17 , 76 , 15.8 , 0.26 , 2 , 18.2 , 3 , 75.0 , 1 , 20.0 , 0 , 0.0 , 1 , 100.0 , 2 , 25.0 , 1 , 33.3 , 2 , 50.0 , 0 , 12 , 30.8 , -5 , 1 , 2.56 
85,김태근,23두RF, 0.25 , 55 , 9 , 25 , 36.0 , 0.25 , 1 , 100.0 , 1 , 50.0 , 2 , 66.7 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 2 , 50.0 , 1 , 100.0 , 0 , 7 , 50.0 , 0 , 0 , 0.00 
