순,이름,팀/포지션,정렬용,타석,득점,주루기회,RS%,RAA주루,G12_N,G12_%,G23_N,G23_%,G34_N,G34_%,F23_N,F23_%,F34_N,F34_%,H13_N,H13_%,H24_N,H24_%,D14_N,D14_%,EtcAdv,추가진루_N,추가진루_%,추가진루_+-,주루사_N,주루사_%
86,신준우,23키SS, 0.25 , 19 , 4 , 8 , 50.0 , 0.25 , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 1 , 50.0 , 1 , 100.0 , 0 , 0.0 , 0 , 2 , 40.0 , 0 , 0 , 0.00 
87,강민성,23K3B, 0.24 , 27 , 2 , 9 , 22.2 , 0.24 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 1 , 100.0 , 1 , 100.0 , 0 , 2 , 100.0 , 1 , 0 , 0.00 
88,김재상,23삼, 0.24 , 22 , 1 , 8 , 0.0 , 0.24 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 1 , 100.0 , 0 ,  , 0 ,  , 0 , 1 , 33.3 , 0 , 0 , 0.00 
89,최보성,23N3B, 0.23 , 21 , 2 , 7 , 28.6 , 0.23 , 0 , 0.0 , 2 , 100.0 , 0 ,  , 0 ,  , 0 ,  , 1 , 50.0 , 0 ,  , 0 ,  , 0 , 3 , 60.0 , 1 , 0 , 0.00 
90,한승택,23KC, 0.22 , 104 , 6 , 32 , 18.8 , 0.22 , 1 , 14.3 , 5 , 71.4 , 0 ,  , 0 , 0.0 , 0 , 0.0 , 1 , 16.7 , 2 , 100.0 , 0 ,  , 0 , 9 , 37.5 , -1 , 0 , 0.00 
91,김민성,23L2B, 0.22 , 316 , 34 , 108 , 24.1 , 0.22 , 2 , 50.0 , 5 , 62.5 , 1 , 33.3 , 0 , 0.0 , 3 , 100.0 , 4 , 23.5 , 4 , 57.1 , 1 , 25.0 , 1 , 21 , 42.0 , -1 , 2 , 4.00 
92,김민석,23롯CF, 0.21 , 454 , 53 , 166 , 30.1 , 0.21 , 3 , 15.0 , 6 , 60.0 , 3 , 75.0 , 1 , 16.7 , 6 , 100.0 , 3 , 12.5 , 16 , 69.6 , 0 , 0.0 , 0 , 38 , 40.0 , -5 , 3 , 3.16 
93,장준원,23KSS, 0.21 , 104 , 10 , 38 , 23.7 , 0.21 , 0 , 0.0 , 3 , 75.0 , 0 ,  , 0 , 0.0 , 1 , 100.0 , 0 , 0.0 , 3 , 60.0 , 0 ,  , 0 , 7 , 31.8 , -4 , 0 , 0.00 
94,윌리엄스,23한LF, 0.21 , 273 , 29 , 89 , 22.5 , 0.21 , 1 , 9.1 , 2 , 40.0 , 2 , 66.7 , 1 , 14.3 , 1 , 100.0 , 1 , 11.1 , 1 , 16.7 , 2 , 66.7 , 0 , 11 , 24.4 , -12 , 1 , 2.22 
95,이병규,23키1B, 0.21 , 17 , 3 , 6 , 50.0 , 0.21 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 1 , 100.0 , 0 , 1 , 50.0 , 0 , 0 , 0.00 
96,장운호,23한RF, 0.21 , 11 , 1 , 4 , 25.0 , 0.21 , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 1 , 100.0 , 0 , 1 , 50.0 , 0 , 0 , 0.00 
97,박정우,23KRF, 0.20 , 12 , 2 , 13 , 15.4 , 0.20 , 1 , 50.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 1 , 50.0 , 0 ,  , 1 , 50.0 , 0 , 3 , 33.3 , -1 , 0 , 0.00 
98,김민혁,23두1B, 0.20 , 36 , 2 , 12 , 16.7 , 0.20 , 0 , 0.0 , 1 , 100.0 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , 1 , 100.0 , 0 , 2 , 40.0 , 0 , 0 , 0.00 
99,김찬형,23S3B, 0.20 , 53 , 6 , 22 , 22.7 , 0.20 , 1 , 50.0 , 1 , 100.0 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 1 , 33.3 , 0 ,  , 0 , 3 , 33.3 , -1 , 0 , 0.00 
100,김범석,23L1B, 0.20 , 29 , 3 , 6 , 33.3 , 0.20 , 0 ,  , 0 ,  , 1 , 100.0 , 0 ,  , 0 ,  , 1 , 100.0 , 0 ,  , 0 ,  , 0 , 2 , 100.0 , 1 , 0 , 0.00 
101,오태곤,23S1B, 0.19 , 305 , 37 , 114 , 26.3 , 0.19 , 4 , 57.1 , 5 , 55.6 , 3 , 100.0 , 2 , 40.0 , 5 , 83.3 , 2 , 15.4 , 4 , 80.0 , 1 , 50.0 , 1 , 27 , 52.9 , 5 , 2 , 3.92 
102,최상민,23SCF, 0.19 , 41 , 5 , 32 , 15.6 , 0.19 , 3 , 37.5 , 2 , 100.0 , 0 , 0.0 , 0 , 0.0 , 1 , 100.0 , 2 , 50.0 , 1 , 50.0 , 1 , 100.0 , 0 , 10 , 50.0 , 2 , 1 , 5.00 
103,전민재,23두3B, 0.18 , 18 , 3 , 11 , 27.3 , 0.18 , 1 , 100.0 , 3 , 100.0 , 0 ,  , 0 , 0.0 , 0 ,  , 1 , 50.0 , 1 , 100.0 , 0 , 0.0 , 0 , 6 , 66.7 , 1 , 0 , 0.00 
104,최준우,23S2B, 0.17 , 69 , 5 , 30 , 16.7 , 0.17 , 0 , 0.0 , 1 , 50.0 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 2 , 100.0 , 0 ,  , 0 , 3 , 25.0 , -2 , 0 , 0.00 
105,손호영,23LSS, 0.16 , 45 , 8 , 18 , 38.9 , 0.16 , 0 , 0.0 , 0 ,  , 1 , 100.0 , 0 ,  , 1 , 50.0 , 1 , 33.3 , 0 ,  , 0 , 0.0 , 0 , 3 , 37.5 , 1 , 0 , 0.00 
106,김동엽,23삼DH, 0.16 , 182 , 20 , 68 , 22.1 , 0.16 , 2 , 22.2 , 3 , 75.0 , 2 , 100.0 , 0 ,  , 0 , 0.0 , 4 , 33.3 , 5 , 55.6 , 1 , 50.0 , 1 , 18 , 45.0 , 2 , 2 , 5.00 
107,김태진,23키3B, 0.16 , 212 , 17 , 85 , 20.0 , 0.16 , 3 , 30.0 , 2 , 40.0 , 0 , 0.0 , 2 , 40.0 , 2 , 100.0 , 4 , 28.6 , 3 , 75.0 , 0 ,  , 0 , 16 , 38.1 , -3 , 2 , 4.76 
108,한준수,23KC, 0.15 , 94 , 9 , 31 , 22.6 , 0.15 , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 1 , 20.0 , 2 , 66.7 , 0 , 0.0 , 0 , 3 , 27.3 , -1 , 0 , 0.00 
109,이상호,23K2B, 0.14 , 60 , 15 , 46 , 32.6 , 0.14 , 0 , 0.0 , 4 , 80.0 , 1 , 100.0 , 1 , 100.0 , 1 , 100.0 , 0 , 0.0 , 1 , 100.0 , 1 , 50.0 , 0 , 9 , 42.9 , 0 , 1 , 4.76 
110,권광민,23한LF, 0.14 , 81 , 11 , 27 , 33.3 , 0.14 , 0 , 0.0 , 1 , 100.0 , 0 ,  , 0 ,  , 0 ,  , 1 , 25.0 , 2 , 50.0 , 0 , 0.0 , 0 , 4 , 33.3 , -1 , 0 , 0.00 
111,유로결,23한RF, 0.13 , 53 , 5 , 17 , 29.4 , 0.13 , 0 , 0.0 , 1 , 50.0 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 3 , 100.0 , 0 ,  , 1 , 5 , 41.7 , 0 , 0 , 0.00 
112,손민석,23K2B, 0.13 , 12 , 2 , 6 , 33.3 , 0.13 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 1 , 100.0 , 0 ,  , 0 ,  , 0 , 1 , 50.0 , 0 , 0 , 0.00 
113,신성현,23두1B, 0.13 , 15 , 1 , 4 , 25.0 , 0.13 , 1 , 100.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 1 , 50.0 , 0 ,  , 0 , 2 , 66.7 , 0 , 0 , 0.00 
114,박준태,23키RF, 0.12 , 15 , 0 , 8 , 0.0 , 0.12 , 0 , 0.0 , 0 ,  , 0 ,  , 1 , 100.0 , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 1 , 20.0 , -1 , 0 , 0.00 
115,박주찬,23N3B, 0.12 , 14 , 1 , 3 , 33.3 , 0.12 , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 1 , 100.0 , 0 ,  , 0 , 0.0 , 0 , 1 , 33.3 , 0 , 0 , 0.00 
116,허도환,23LC, 0.11 , 81 , 8 , 20 , 30.0 , 0.11 , 0 ,  , 1 , 50.0 , 1 , 100.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 1 , 33.3 , 0 ,  , 0 , 3 , 27.3 , -4 , 0 , 0.00 
117,오장한,23NRF, 0.11 , 8 , 2 , 3 , 66.7 , 0.11 , 1 , 100.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 1 , 100.0 , 0 ,  , 0 , 2 , 100.0 , 1 , 0 , 0.00 
118,전의산,23S1B, 0.11 , 153 , 11 , 46 , 15.2 , 0.11 , 2 , 25.0 , 2 , 66.7 , 0 ,  , 0 , 0.0 , 0 ,  , 0 , 0.0 , 1 , 50.0 , 0 ,  , 0 , 5 , 22.7 , -8 , 0 , 0.00 
119,박민석,23KSS, 0.10 , 4 , 1 , 3 , 33.3 , 0.10 , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 1 , 100.0 , 0 ,  , 0 , 1 , 50.0 , 0 , 0 , 0.00 
120,정대선,23롯2B, 0.08 , 47 , 5 , 16 , 31.3 , 0.08 , 0 , 0.0 , 0 , 0.0 , 2 , 66.7 , 0 , 0.0 , 0 , 0.0 , 1 , 33.3 , 2 , 50.0 , 0 , 0.0 , 0 , 5 , 29.4 , -3 , 0 , 0.00 
121,이병헌,23삼C, 0.07 , 33 , 3 , 9 , 33.3 , 0.07 , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 1 , 100.0 , 0 ,  , 0 , 1 , 20.0 , -1 , 0 , 0.00 
122,장두성,23롯CF, 0.07 , 15 , 7 , 18 , 38.9 , 0.07 , 0 , 0.0 , 1 , 100.0 , 0 ,  , 0 , 0.0 , 0 ,  , 2 , 40.0 , 3 , 100.0 , 0 ,  , 0 , 6 , 54.5 , 1 , 1 , 9.09 
123,강준서,23삼LF, 0.07 , 15 , 2 , 7 , 28.6 , 0.07 , 1 , 50.0 , 1 , 100.0 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 1 , 100.0 , 0 ,  , 0 , 3 , 60.0 , 1 , 0 , 0.00 
124,김주원,23NSS, 0.07 , 474 , 56 , 166 , 27.7 , 0.07 , 7 , 29.2 , 12 , 60.0 , 4 , 50.0 , 1 , 16.7 , 0 ,  , 10 , 35.7 , 8 , 80.0 , 6 , 75.0 , 0 , 48 , 46.2 , 1 , 6 , 5.77 
125,이해승,23삼3B, 0.06 , 4 , 0 , 5 , 0.0 , 0.06 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0 , 0.0 , -2 , 0 , 0.00 
126,김수윤,23N3B, 0.06 , 15 , 0 , 5 , 0.0 , 0.06 , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 , 0.0 , -1 , 0 , 0.00 
127,김건,23한DH, 0.06 , 12 , 1 , 3 , 33.3 , 0.06 , 1 , 100.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 , 0.0 , 1 , 100.0 , 0 ,  , 0 , 2 , 50.0 , 0 , 0 , 0.00 
128,허경민,23두3B, 0.05 , 475 , 44 , 165 , 22.4 , 0.05 , 4 , 19.1 , 5 , 62.5 , 1 , 25.0 , 2 , 25.0 , 4 , 100.0 , 4 , 23.5 , 8 , 53.3 , 2 , 66.7 , 0 , 30 , 37.5 , -8 , 3 , 3.75 
129,김건희,23키1B, 0.05 , 13 , 0 , 4 , 0.0 , 0.05 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
130,서호철,23N3B, 0.04 , 435 , 50 , 171 , 26.3 , 0.04 , 3 , 15.8 , 14 , 53.9 , 0 , 0.0 , 1 , 25.0 , 3 , 75.0 , 4 , 15.4 , 6 , 60.0 , 3 , 42.9 , 0 , 34 , 34.3 , -10 , 3 , 3.03 
131,최정원,23N2B, 0.04 , 56 , 12 , 30 , 40.0 , 0.04 , 0 , 0.0 , 1 , 50.0 , 2 , 100.0 , 0 , 0.0 , 2 , 100.0 , 1 , 25.0 , 3 , 100.0 , 1 , 100.0 , 0 , 10 , 58.8 , 3 , 1 , 5.88 
132,김민수,23롯3B, 0.03 , 51 , 4 , 17 , 23.5 , 0.03 , 0 , 0.0 , 0 ,  , 2 , 100.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 1 , 100.0 , 0 ,  , 0 , 3 , 37.5 , -1 , 0 , 0.00 
133,김병휘,23키2B, 0.03 , 21 , 0 , 3 , 0.0 , 0.03 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 , 0.0 , -1 , 0 , 0.00 
,김태훈,23삼LF, 0.03 , 22 , 0 , 3 , 0.0 , 0.03 , 1 , 100.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 1 , 100.0 , 1 , 0 , 0.00 
135,이흥련,23SC, 0.03 , 17 , 1 , 3 , 0.0 , 0.03 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
136,유상빈,23한DH, 0.03 , 8 , 1 , 2 , 50.0 , 0.03 , 1 , 100.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 1 , 100.0 , 1 , 0 , 0.00 
137,윤수녕,23롯RF, 0.02 , 4 , 0 , 2 , 0.0 , 0.02 , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 , 0.0 , -1 , 0 , 0.00 
138,이상혁,23한CF, 0.02 , 2 , 0 , 5 , 0.0 , 0.02 , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0 , 0.0 , -1 , 0 , 0.00 
139,박준영,23두3B, 0.02 , 138 , 16 , 45 , 26.7 , 0.02 , 2 , 28.6 , 4 , 66.7 , 0 ,  , 0 , 0.0 , 0 ,  , 0 , 0.0 , 1 , 25.0 , 1 , 100.0 , 0 , 8 , 33.3 , -5 , 0 , 0.00 
140,최승민,23LCF, 0.02 , 15 , 10 , 30 , 33.3 , 0.02 , 4 , 57.1 , 3 , 75.0 , 1 , 50.0 , 2 , 50.0 , 0 ,  , 1 , 25.0 , 1 , 100.0 , 0 ,  , 0 , 12 , 54.5 , 0 , 1 , 4.55 
141,예진원,23키LF, 0.01 , 36 , 2 , 11 , 9.1 , 0.01 , 0 , 0.0 , 1 , 100.0 , 0 ,  , 0 ,  , 1 , 100.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 2 , 33.3 , 0 , 0 , 0.00 
142,이정훈,23롯DH, 0.01 , 171 , 17 , 71 , 22.5 , 0.01 , 3 , 33.3 , 2 , 66.7 , 1 , 100.0 , 0 , 0.0 , 0 ,  , 4 , 28.6 , 1 , 16.7 , 1 , 50.0 , 0 , 12 , 33.3 , -3 , 1 , 2.78 
143,송재선,23키RF, 0.01 , 3 , 0 , 2 , 0.0 , 0.01 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
144,오선우,23K1B, 0.01 , 31 , 2 , 11 , 0.0 , 0.01 , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0 , 0.0 , -2 , 0 , 0.00 
145,김정민,23SRF, 0.00 , 2 , 1 , 3 , 33.3 , 0.00 , 0 ,  , 1 , 100.0 , 1 , 100.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 2 , 66.7 , 1 , 0 , 0.00 
146,국해성,23롯DH, 0.00 , 10 , 0 , 4 , 0.0 , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0 , 0.0 , 0 , 1 , 100.00 
147,이천웅,23L, 0.00 , 3 , 0 , 3 , 0.0 , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 1 , 1 , 100.0 , 1 , 0 , 0.00 
,조현진,23NSS, 0.00 , 5 , 0 , 3 , 0.0 , 0.00 , 1 , 50.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 1 , 50.0 , 0 , 0 , 0.00 
,서예일,23두2B, 0.00 , 10 , 2 , 3 , 66.7 , 0.00 , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 , 0.0 , -1 , 0 , 0.00 
150,이민준,23한SS, 0.00 , 2 , 0 , 2 , 0.0 , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,송준석,23삼LF, 0.00 , 8 , 0 , 2 , 0.0 , 0.00 , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 , 0.0 , 0 , 0 , 0.00 
152,문상인,23KC, 0.00 , 1 , 0 , 1 , 0.0 , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,채현우,23S, 0.00 , 0 , 1 , 1 , 100.0 , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,류효승,23SDH, 0.00 , 4 , 0 , 1 , 0.0 , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김선우,23KC, 0.00 , 7 , 0 , 1 , 0.0 , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,송대현,23LSS, 0.00 , 3 , 0 , 1 , 0.0 , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,지시완,23롯C, 0.00 , 10 , 0 , 1 , 0.0 , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김헌곤,23삼, 0.00 , 4 , 0 , 1 , 0.0 , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김병희,23K3B, 0.00 , 9 , 0 , 1 , 0.0 , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
160,박형준,23롯, 0.00 , 1 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,하준호,23KP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,박상원,23한P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,정해영,23KP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,정철원,23두P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,최민준,23SP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,채지선,23LP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,박신지,23두P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,황동하,23KP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,양현,23키P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,서진용,23SP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김시훈,23NP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,임준섭,23SP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김재윤,23KP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,이선우,23KP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,최영환,23롯P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,고효준,23SP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,오석주,23LP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김재웅,23키P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김민규,23두P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,이상동,23KP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,이용찬,23NP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김상수,23롯P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,박영현,23KP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,박명근,23LP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,윤정현,23키P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,임창민,23키P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,한재승,23NP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,홍건희,23두P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
