순,이름,팀/포지션,정렬용,타석,득점,주루기회,RS%,RAA주루,G12_N,G12_%,G23_N,G23_%,G34_N,G34_%,F23_N,F23_%,F34_N,F34_%,H13_N,H13_%,H24_N,H24_%,D14_N,D14_%,EtcAdv,추가진루_N,추가진루_%,추가진루_+-,주루사_N,주루사_%
,박준표,23KP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,이형범,23두P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김준형,23키P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,윤중현,23KP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김성진,23키P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김원중,23롯P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김선기,23키P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김대현,23LP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김태훈,23삼P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,이태양,23한P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,백승건,23SP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,최동환,23LP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김동규,23LP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,하영민,23키P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,강재민,23한P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,원종현,23키P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,후라도,23키P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,이채호,23KP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,이재익,23삼P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,문승원,23SP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김민,23KP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김서준,23삼P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,이건욱,23SP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,박정수,23두P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,박치국,23두P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,이승현,23삼P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김영현,23KP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김기훈,23KP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,노경은,23SP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,고우석,23LP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,오승환,23삼P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,이승현,23삼P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,문성현,23키P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김대우,23삼P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,최승용,23두P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,이정용,23LP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,정우람,23한P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김정우,23두P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김서현,23한P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,류진욱,23NP, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,박준영,23한P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김동혁,23키P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,이명종,23키P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,윤대경,23한P, 0.00 , 0 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김민수,23삼C, 0.00 , 1 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,윤도현,23K3B, 0.00 , 1 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,전사민,23NP, 0.00 , 1 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,이상민,23삼P, 0.00 , 1 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,전준호,23LC, 0.00 , 1 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,권민석,23두SS, 0.00 , 2 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,고명준,23S1B, 0.00 , 4 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,김건웅,23S1B, 0.00 , 3 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,장지승,23한, 0.00 , 3 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
,이승원,23키SS, 0.00 , 5 , 0 , 0 ,  , 0.00 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0 ,  , 0 , 0 ,  
243,주효상,23KC, -0.02 , 36 , 2 , 6 , 33.3 , -0.02 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0 , 0.0 , -1 , 0 , 0.00 
244,박대온,23NC, -0.02 , 6 , 2 , 3 , 66.7 , -0.02 , 0 , 0.0 , 1 , 100.0 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 1 , 100.0 , 0 ,  , 0 , 2 , 50.0 , 0 , 0 , 0.00 
245,박유연,23두C, -0.02 , 16 , 3 , 5 , 60.0 , -0.02 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 1 , 100.0 , 1 , 100.0 , 0 , 0.0 , 0 ,  , 0 , 2 , 50.0 , 0 , 0 , 0.00 
246,김형준,23NC, -0.02 , 82 , 10 , 26 , 15.4 , -0.02 , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 1 , 33.3 , 1 , 33.3 , 0 ,  , 0 , 2 , 16.7 , -4 , 0 , 0.00 
247,장성우,23KC, -0.02 , 464 , 37 , 170 , 15.3 , -0.02 , 4 , 16.7 , 9 , 52.9 , 5 , 71.4 , 0 , 0.0 , 1 , 50.0 , 4 , 12.9 , 5 , 45.5 , 0 , 0.0 , 0 , 28 , 28.9 , -13 , 1 , 1.03 
248,이명기,23한DH, -0.04 , 42 , 2 , 12 , 16.7 , -0.04 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 1 , 33.3 , 0 ,  , 0 , 0.0 , 0 , 1 , 25.0 , 0 , 0 , 0.00 
249,이정범,23SDH, -0.04 , 33 , 2 , 9 , 22.2 , -0.04 , 1 , 100.0 , 1 , 100.0 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 2 , 40.0 , 0 , 0 , 0.00 
250,오지환,23LSS, -0.06 , 502 , 65 , 194 , 29.4 , -0.06 , 6 , 37.5 , 8 , 50.0 , 3 , 42.9 , 2 , 40.0 , 5 , 83.3 , 10 , 41.7 , 15 , 83.3 , 5 , 55.6 , 4 , 58 , 55.2 , 13 , 7 , 6.67 
251,강승호,23두2B, -0.06 , 458 , 51 , 174 , 25.3 , -0.06 , 7 , 46.7 , 5 , 62.5 , 4 , 50.0 , 5 , 41.7 , 1 , 16.7 , 12 , 48.0 , 1 , 16.7 , 3 , 37.5 , 3 , 41 , 45.1 , 0 , 4 , 4.40 
252,정보근,23롯C, -0.06 , 101 , 11 , 46 , 21.7 , -0.06 , 1 , 20.0 , 1 , 50.0 , 0 ,  , 0 , 0.0 , 3 , 100.0 , 3 , 37.5 , 2 , 40.0 , 0 , 0.0 , 0 , 10 , 37.0 , -2 , 0 , 0.00 
253,김석환,23K1B, -0.06 , 26 , 1 , 6 , 16.7 , -0.06 , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0 , 0.0 , -1 , 0 , 0.00 
254,박한결,23NLF, -0.07 , 18 , 3 , 8 , 25.0 , -0.07 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 1 , 100.0 , 0 , 0.0 , 1 , 50.0 , 0 ,  , 0 , 2 , 40.0 , 0 , 0 , 0.00 
255,문상준,23K2B, -0.08 , 5 , 1 , 1 , 100.0 , -0.08 , 0 ,  , 1 , 100.0 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 1 , 50.0 , 0 , 0 , 0.00 
256,서동욱,23롯RF, -0.08 , 20 , 2 , 5 , 40.0 , -0.08 , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 , 0 , 0.0 , -1 , 0 , 0.00 
257,이학주,23롯SS, -0.08 , 122 , 22 , 64 , 29.7 , -0.08 , 4 , 36.4 , 3 , 60.0 , 0 , 0.0 , 2 , 50.0 , 2 , 66.7 , 1 , 12.5 , 4 , 57.1 , 1 , 25.0 , 0 , 17 , 39.5 , -3 , 1 , 2.33 
258,송승환,23두LF, -0.10 , 76 , 10 , 27 , 37.0 , -0.10 , 1 , 50.0 , 0 , 0.0 , 1 , 33.3 , 0 ,  , 2 , 100.0 , 2 , 40.0 , 3 , 60.0 , 0 , 0.0 , 0 , 9 , 47.4 , 1 , 1 , 5.26 
259,이시원,23KRF, -0.11 , 32 , 4 , 16 , 25.0 , -0.11 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 1 , 50.0 , 1 , 100.0 , 0 ,  , 0 , 2 , 50.0 , 0 , 1 , 25.00 
260,허관회,23한C, -0.12 , 7 , 1 , 1 , 100.0 , -0.12 , 0 ,  , 1 , 100.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 , 1 , 50.0 , 0 , 0 , 0.00 
261,전병우,23키1B, -0.12 , 75 , 6 , 29 , 17.2 , -0.12 , 1 , 50.0 , 1 , 50.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 2 , 22.2 , 2 , 50.0 , 0 ,  , 0 , 6 , 31.6 , -2 , 0 , 0.00 
262,김병준,23KCF, -0.13 , 2 , 0 , 2 , 0.0 , -0.13 , 1 , 100.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 1 , 50.0 , 0 , 0 , 0.00 
263,안재석,23두SS, -0.13 , 68 , 8 , 22 , 31.8 , -0.13 , 1 , 50.0 , 1 , 33.3 , 0 ,  , 0 ,  , 0 , 0.0 , 2 , 66.7 , 1 , 50.0 , 1 , 100.0 , 0 , 6 , 50.0 , 1 , 1 , 8.33 
264,이태훈,23삼1B, -0.14 , 14 , 1 , 7 , 14.3 , -0.14 , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0 , 0.0 , -2 , 0 , 0.00 
265,김준태,23KC, -0.14 , 136 , 10 , 54 , 13.0 , -0.14 , 1 , 16.7 , 1 , 50.0 , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 3 , 75.0 , 0 , 0.0 , 0 , 5 , 26.3 , -3 , 1 , 5.26 
266,송민섭,23KCF, -0.14 , 25 , 6 , 23 , 26.1 , -0.14 , 0 ,  , 2 , 100.0 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 2 , 100.0 , 0 , 4 , 66.7 , 1 , 1 , 16.67 
267,이성곤,23한DH, -0.15 , 16 , 2 , 5 , 40.0 , -0.15 , 0 ,  , 1 , 50.0 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 1 , 50.0 , 0 ,  , 0 , 2 , 28.6 , -1 , 0 , 0.00 
268,노수광,23한LF, -0.17 , 94 , 6 , 35 , 17.1 , -0.17 , 3 , 75.0 , 0 , 0.0 , 0 , 0.0 , 1 , 50.0 , 0 ,  , 2 , 33.3 , 1 , 50.0 , 0 ,  , 0 , 7 , 43.8 , -1 , 1 , 6.25 
269,이재원,23SC, -0.18 , 48 , 3 , 6 , 50.0 , -0.18 , 1 , 100.0 , 1 , 100.0 , 0 ,  , 0 , 0.0 , 0 ,  , 0 , 0.0 , 1 , 50.0 , 0 ,  , 0 , 3 , 37.5 , -1 , 0 , 0.00 
270,오영수,23N1B, -0.19 , 238 , 21 , 82 , 20.7 , -0.19 , 0 , 0.0 , 5 , 62.5 , 2 , 66.7 , 2 , 50.0 , 1 , 100.0 , 3 , 25.0 , 3 , 75.0 , 0 , 0.0 , 0 , 16 , 41.0 , -3 , 3 , 7.69 
271,이유찬,23두2B, -0.19 , 239 , 31 , 105 , 28.6 , -0.19 , 3 , 23.1 , 6 , 100.0 , 2 , 100.0 , 2 , 50.0 , 5 , 71.4 , 3 , 42.9 , 8 , 72.7 , 0 , 0.0 , 0 , 29 , 55.8 , 6 , 3 , 5.77 
272,이재용,23한C, -0.20 , 2 , 1 , 3 , 33.3 , -0.20 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0 , 0.0 , -1 , 0 , 0.00 
273,박영빈,23NDH, -0.20 , 17 , 11 , 30 , 36.7 , -0.20 , 0 , 0.0 , 2 , 100.0 , 0 ,  , 1 , 100.0 , 2 , 100.0 , 2 , 33.3 , 3 , 100.0 , 1 , 100.0 , 0 , 11 , 61.1 , 4 , 2 , 11.11 
274,박상언,23한C, -0.22 , 161 , 13 , 50 , 24.0 , -0.22 , 2 , 50.0 , 2 , 66.7 , 2 , 100.0 , 1 , 100.0 , 1 , 100.0 , 1 , 25.0 , 0 , 0.0 , 3 , 75.0 , 1 , 13 , 61.9 , 4 , 2 , 9.52 
275,김도환,23삼C, -0.22 , 8 , 0 , 3 , 0.0 , -0.22 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0 , 0.0 , -4 , 0 , 0.00 
276,강진성,23두S1B, -0.23 , 145 , 10 , 47 , 14.9 , -0.23 , 3 , 60.0 , 1 , 50.0 , 0 , 0.0 , 0 , 0.0 , 1 , 50.0 , 2 , 16.7 , 1 , 33.3 , 0 ,  , 0 , 8 , 26.7 , -6 , 0 , 0.00 
277,김강민,23SCF, -0.25 , 166 , 20 , 64 , 28.1 , -0.25 , 2 , 18.2 , 1 , 50.0 , 1 , 50.0 , 1 , 50.0 , 0 ,  , 3 , 37.5 , 5 , 62.5 , 3 , 60.0 , 0 , 16 , 42.1 , -1 , 2 , 5.26 
278,추신수,23SDH, -0.26 , 462 , 65 , 186 , 28.5 , -0.26 , 12 , 44.4 , 11 , 84.6 , 6 , 66.7 , 5 , 41.7 , 6 , 85.7 , 5 , 20.0 , 10 , 62.5 , 2 , 18.2 , 2 , 59 , 48.4 , 3 , 4 , 3.28 
279,안주형,23삼2B, -0.28 , 91 , 12 , 47 , 23.4 , -0.28 , 2 , 28.6 , 1 , 100.0 , 1 , 100.0 , 0 , 0.0 , 4 , 100.0 , 3 , 33.3 , 2 , 50.0 , 0 , 0.0 , 0 , 13 , 43.3 , 1 , 2 , 6.67 
280,이진영,23한RF, -0.30 , 422 , 57 , 171 , 27.5 , -0.30 , 6 , 40.0 , 7 , 50.0 , 1 , 20.0 , 3 , 60.0 , 4 , 100.0 , 3 , 14.3 , 15 , 65.2 , 4 , 66.7 , 0 , 43 , 46.2 , -1 , 4 , 4.30 
281,류승민,23삼RF, -0.30 , 57 , 5 , 17 , 29.4 , -0.30 , 1 , 33.3 , 2 , 100.0 , 0 ,  , 1 , 100.0 , 1 , 100.0 , 0 , 0.0 , 1 , 50.0 , 0 ,  , 0 , 6 , 50.0 , 1 , 1 , 8.33 
282,안승한,23두C, -0.31 , 27 , 1 , 10 , 10.0 , -0.31 , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 , 0 , 0.0 , -4 , 0 , 0.00 
283,이용규,23키LF, -0.33 , 178 , 19 , 64 , 29.7 , -0.33 , 3 , 50.0 , 5 , 83.3 , 1 , 50.0 , 1 , 33.3 , 2 , 100.0 , 2 , 15.4 , 3 , 100.0 , 3 , 50.0 , 1 , 21 , 50.0 , 3 , 2 , 4.76 
284,박대온,23NC, -0.34 , 27 , 4 , 9 , 44.4 , -0.34 , 0 , 0.0 , 0 ,  , 1 , 50.0 , 0 ,  , 1 , 100.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 2 , 18.2 , -3 , 0 , 0.00 
285,주성원,23키RF, -0.34 , 72 , 7 , 17 , 41.2 , -0.34 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 1 , 100.0 , 1 , 33.3 , 2 , 66.7 , 0 ,  , 0 , 4 , 28.6 , -4 , 1 , 7.14 
286,김태연,23한RF, -0.35 , 280 , 25 , 103 , 20.4 , -0.35 , 2 , 20.0 , 4 , 50.0 , 3 , 75.0 , 4 , 50.0 , 2 , 66.7 , 7 , 35.0 , 1 , 33.3 , 2 , 100.0 , 0 , 25 , 43.1 , -2 , 3 , 5.17 
287,박주홍,23키1B, -0.35 , 57 , 5 , 15 , 33.3 , -0.35 , 2 , 66.7 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 2 , 33.3 , 0 , 1 , 16.67 
288,조형우,23SC, -0.37 , 133 , 9 , 41 , 17.1 , -0.37 , 1 , 20.0 , 1 , 100.0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 2 , 66.7 , 1 , 100.0 , 0 , 5 , 29.4 , -3 , 1 , 5.88 
289,김재호,23두SS, -0.40 , 302 , 32 , 117 , 24.8 , -0.40 , 3 , 16.7 , 7 , 87.5 , 3 , 100.0 , 3 , 37.5 , 2 , 100.0 , 2 , 10.0 , 4 , 50.0 , 2 , 40.0 , 0 , 26 , 36.1 , -8 , 2 , 2.78 
290,최정,23S3B, -0.40 , 552 , 94 , 225 , 28.9 , -0.40 , 4 , 15.4 , 8 , 61.5 , 1 , 25.0 , 1 , 8.3 , 8 , 100.0 , 6 , 14.6 , 17 , 81.0 , 5 , 62.5 , 0 , 50 , 37.6 , -9 , 6 , 4.51 
291,오태양,23NCF, -0.40 , 3 , 4 , 12 , 33.3 , -0.40 , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 1 , 50.0 , 0 , 0.0 , 0 ,  , 0 , 1 , 20.0 , -1 , 1 , 20.00 
292,노진혁,23롯SS, -0.41 , 390 , 43 , 149 , 26.2 , -0.41 , 2 , 13.3 , 9 , 60.0 , 3 , 75.0 , 3 , 60.0 , 3 , 100.0 , 2 , 8.7 , 5 , 35.7 , 1 , 33.3 , 1 , 29 , 34.9 , -9 , 2 , 2.41 
293,황대인,23K1B, -0.43 , 199 , 19 , 60 , 23.3 , -0.43 , 3 , 60.0 , 4 , 66.7 , 0 , 0.0 , 0 , 0.0 , 1 , 50.0 , 1 , 6.7 , 3 , 60.0 , 0 ,  , 0 , 12 , 34.3 , -2 , 1 , 2.86 
