순,이름,팀/포지션,정렬용,출장,이닝,타자,투구,P/PA,S루킹,S헛스윙,S파울,S타격,투구비율S%,투구비율B%,배트적극성전체%,배트적극성초구%,헛스윙%,SwStr%,2S후커트%,2S후선구%,스윙삼진,루킹삼진,LSO%,배팅찬스N,배팅찬스스윙,배팅찬스W%
213,페디,23N, 4.10 , 30 , 180.1 , 708 , 2904 , 4.10 , 31.2 , 16.5 , 28.1 , 24.2 , 65.4 , 34.6 , 45.0 , 29.7 , 24.0 , 12.8 , 66.3 , 36.6 , 158 , 51 , 24.4 , 672 , 42 , 6.3 
214,김승현,23K, 4.11 , 10 , 12.2 , 57 , 234 , 4.11 , 25.6 , 11.6 , 32.6 , 30.2 , 55.1 , 44.9 , 41.0 , 29.8 , 15.6 , 7.7 , 81.6 , 39.7 , 4 , 3 , 42.9 , 112 , 7 , 6.3 
215,문동주,23한, 4.11 , 23 , 118.2 , 503 , 2067 , 4.11 , 29.8 , 15.0 , 27.4 , 27.8 , 63.0 , 37.0 , 44.2 , 26.2 , 21.3 , 11.4 , 77.2 , 36.2 , 72 , 23 , 24.2 , 627 , 44 , 7.0 
,손주영,23L, 4.11 , 3 , 8.2 , 46 , 189 , 4.11 , 25.4 , 14.9 , 29.0 , 30.7 , 60.3 , 39.7 , 45.0 , 32.6 , 20.0 , 11.0 , 86.1 , 30.8 , 3 , 2 , 40.0 , 43 , 5 , 11.6 
217,박세진,23K, 4.12 , 16 , 11.2 , 66 , 272 , 4.12 , 28.6 , 13.6 , 30.5 , 27.3 , 56.6 , 43.4 , 40.4 , 27.3 , 19.1 , 9.1 , 76.7 , 41.1 , 7 , 3 , 30.0 , 66 , 7 , 10.6 
218,구창모,23N, 4.12 , 11 , 51.2 , 205 , 845 , 4.12 , 30.1 , 19.6 , 26.7 , 23.7 , 66.5 , 33.5 , 46.5 , 29.3 , 28.0 , 15.5 , 70.8 , 28.4 , 43 , 13 , 23.2 , 271 , 13 , 4.8 
219,황동재,23삼, 4.12 , 7 , 31.2 , 155 , 639 , 4.12 , 23.7 , 15.7 , 32.5 , 28.0 , 58.7 , 41.3 , 44.8 , 24.5 , 20.6 , 11.1 , 75.5 , 37.9 , 22 , 5 , 18.5 , 164 , 12 , 7.3 
220,진해수,23L, 4.13 , 19 , 14.2 , 72 , 297 , 4.13 , 31.3 , 12.9 , 27.9 , 27.9 , 60.3 , 39.7 , 41.4 , 23.6 , 18.7 , 9.3 , 76.5 , 38.6 , 8 , 4 , 33.3 , 68 , 5 , 7.4 
221,신민혁,23N, 4.13 , 29 , 122.0 , 518 , 2140 , 4.13 , 26.2 , 13.7 , 32.8 , 27.4 , 66.7 , 33.3 , 49.3 , 27.8 , 18.5 , 11.2 , 80.7 , 33.6 , 78 , 19 , 19.6 , 376 , 23 , 6.1 
,이로운,23S, 4.13 , 50 , 57.2 , 268 , 1107 , 4.13 , 26.4 , 17.1 , 28.7 , 27.8 , 60.3 , 39.7 , 44.4 , 25.8 , 23.2 , 12.4 , 73.3 , 38.2 , 41 , 11 , 21.2 , 337 , 31 , 9.2 
223,진승현,23롯, 4.13 , 24 , 27.2 , 129 , 533 , 4.13 , 29.0 , 18.7 , 25.7 , 26.6 , 62.1 , 37.9 , 44.1 , 22.5 , 26.4 , 13.9 , 77.9 , 33.1 , 19 , 6 , 24.0 , 172 , 14 , 8.1 
224,김민규,23두, 4.14 , 6 , 8.1 , 37 , 153 , 4.14 , 23.9 , 14.8 , 31.8 , 29.6 , 57.5 , 42.5 , 43.8 , 18.9 , 19.4 , 10.2 , 79.2 , 47.8 , 4 , 1 , 20.0 , 70 , 7 , 10.0 
225,맥카티,23S, 4.14 , 24 , 130.0 , 543 , 2246 , 4.14 , 29.5 , 15.0 , 29.0 , 26.5 , 64.1 , 35.9 , 45.2 , 23.8 , 21.3 , 11.6 , 75.3 , 35.5 , 96 , 20 , 17.2 , 492 , 26 , 5.3 
226,김상수,23롯, 4.15 , 66 , 52.0 , 218 , 905 , 4.15 , 28.3 , 14.0 , 29.4 , 28.3 , 61.7 , 38.3 , 44.2 , 24.3 , 19.5 , 10.4 , 78.2 , 40.4 , 27 , 9 , 25.0 , 208 , 16 , 7.7 
227,강재민,23한, 4.15 , 43 , 43.1 , 189 , 785 , 4.15 , 28.1 , 13.6 , 33.7 , 24.6 , 62.0 , 38.0 , 44.6 , 27.5 , 18.9 , 9.9 , 73.3 , 37.0 , 32 , 10 , 23.8 , 182 , 14 , 7.7 
228,박종훈,23S, 4.15 , 18 , 80.0 , 382 , 1587 , 4.15 , 34.7 , 9.4 , 29.1 , 26.9 , 58.0 , 42.0 , 37.9 , 21.2 , 14.3 , 6.4 , 78.9 , 38.9 , 39 , 17 , 30.4 , 511 , 26 , 5.1 
229,한재승,23N, 4.16 , 11 , 9.2 , 44 , 183 , 4.16 , 30.6 , 16.2 , 27.0 , 26.1 , 60.7 , 39.3 , 42.1 , 22.7 , 23.4 , 11.7 , 73.0 , 28.9 , 9 , 1 , 10.0 , 55 , 5 , 9.1 
230,이준영,23K, 4.16 , 64 , 33.2 , 149 , 620 , 4.16 , 31.2 , 17.9 , 25.9 , 25.1 , 60.5 , 39.5 , 41.6 , 16.8 , 26.0 , 12.7 , 74.1 , 32.2 , 23 , 7 , 23.3 , 241 , 17 , 7.1 
231,김동주,23두, 4.16 , 18 , 78.1 , 334 , 1390 , 4.16 , 28.4 , 15.3 , 29.0 , 27.4 , 62.1 , 37.9 , 44.5 , 25.5 , 21.4 , 11.4 , 77.0 , 37.2 , 51 , 8 , 13.6 , 332 , 26 , 7.8 
232,김대유,23K, 4.16 , 41 , 24.2 , 110 , 458 , 4.16 , 32.8 , 14.7 , 26.6 , 25.9 , 64.0 , 36.0 , 43.0 , 18.2 , 21.8 , 11.3 , 79.6 , 32.7 , 17 , 3 , 15.0 , 119 , 8 , 6.7 
233,김서현,23한, 4.18 , 20 , 22.1 , 114 , 476 , 4.18 , 33.9 , 19.6 , 24.2 , 22.3 , 54.6 , 45.4 , 36.1 , 14.9 , 29.7 , 12.2 , 67.1 , 38.8 , 24 , 2 , 7.7 , 188 , 10 , 5.3 
234,최영환,23롯, 4.19 , 8 , 10.0 , 54 , 226 , 4.19 , 25.9 , 10.1 , 36.0 , 28.1 , 61.5 , 38.5 , 45.6 , 31.5 , 13.6 , 7.5 , 84.4 , 32.8 , 4 , 3 , 42.9 , 55 , 4 , 7.3 
235,정우람,23한, 4.19 , 52 , 40.1 , 183 , 766 , 4.19 , 26.9 , 12.1 , 33.1 , 27.9 , 62.7 , 37.3 , 45.8 , 33.3 , 16.5 , 9.2 , 81.4 , 34.3 , 22 , 8 , 26.7 , 195 , 19 , 9.7 
236,이민우,23한, 4.19 , 17 , 13.2 , 57 , 239 , 4.19 , 29.7 , 13.8 , 29.0 , 27.6 , 60.7 , 39.3 , 42.7 , 22.8 , 19.6 , 10.1 , 74.4 , 40.3 , 9 , 2 , 18.2 , 61 , 3 , 4.9 
237,이용준,23N, 4.20 , 24 , 67.0 , 304 , 1278 , 4.20 , 28.4 , 13.1 , 30.7 , 27.8 , 58.5 , 41.6 , 41.9 , 25.0 , 18.3 , 9.2 , 77.4 , 39.4 , 39 , 11 , 22.0 , 484 , 34 , 7.0 
238,고우석,23L, 4.21 , 44 , 44.0 , 190 , 799 , 4.21 , 22.9 , 24.3 , 31.4 , 21.4 , 61.3 , 38.7 , 47.3 , 30.5 , 31.5 , 17.2 , 63.5 , 32.3 , 51 , 8 , 13.6 , 243 , 15 , 6.2 
239,정성곤,23S, 4.21 , 6 , 4.1 , 29 , 122 , 4.21 , 26.5 , 22.1 , 23.5 , 27.9 , 55.7 , 44.3 , 41.0 , 24.1 , 30.0 , 14.6 , 83.3 , 53.9 , 2 , 1 , 33.3 , 23 , 5 , 21.7 
240,김진욱,23롯, 4.22 , 50 , 36.1 , 177 , 746 , 4.22 , 33.4 , 13.9 , 27.5 , 25.2 , 59.0 , 41.0 , 39.3 , 17.5 , 20.8 , 9.6 , 73.3 , 34.2 , 27 , 8 , 22.9 , 192 , 17 , 8.9 
241,박권후,23삼, 4.23 , 4 , 2.2 , 13 , 55 , 4.23 , 10.0 , 10.0 , 40.0 , 40.0 , 54.6 , 45.5 , 49.1 , 15.4 , 11.1 , 7.0 , 100.0 , 20.0 , 0 , 0 ,  , 40 , 4 , 10.0 
,서상준,23S, 4.23 , 2 , 2.0 , 13 , 55 , 4.23 , 20.8 , 12.5 , 45.8 , 20.8 , 43.6 , 56.4 , 34.6 , 23.1 , 15.8 , 6.0 , 57.1 , 36.4 , 3 , 0 , 0.0 , 10 , 2 , 20.0 
243,이건욱,23S, 4.24 , 27 , 38.2 , 169 , 716 , 4.24 , 25.4 , 18.5 , 29.5 , 26.6 , 58.2 , 41.8 , 43.4 , 24.9 , 24.8 , 12.7 , 74.4 , 37.0 , 23 , 8 , 25.8 , 238 , 23 , 9.7 
244,곽빈,23두, 4.24 , 23 , 127.1 , 526 , 2229 , 4.24 , 29.1 , 16.8 , 28.2 , 25.9 , 61.9 , 38.1 , 43.9 , 26.1 , 23.7 , 12.4 , 74.8 , 37.1 , 86 , 20 , 18.9 , 590 , 43 , 7.3 
245,이재희,23삼, 4.24 , 2 , 8.0 , 33 , 140 , 4.24 , 22.8 , 22.8 , 25.3 , 29.1 , 56.4 , 43.6 , 43.6 , 27.3 , 29.5 , 15.4 , 78.3 , 39.5 , 5 , 0 , 0.0 , 26 , 2 , 7.7 
,장재영,23키, 4.24 , 23 , 71.2 , 339 , 1438 , 4.24 , 34.6 , 13.9 , 26.8 , 24.7 , 55.7 , 44.3 , 36.4 , 17.7 , 21.2 , 9.0 , 71.6 , 37.7 , 47 , 20 , 29.9 , 582 , 35 , 6.0 
247,주승우,23키, 4.24 , 11 , 16.0 , 90 , 382 , 4.24 , 30.8 , 10.1 , 30.8 , 28.4 , 54.5 , 45.6 , 37.7 , 22.2 , 14.6 , 6.5 , 86.4 , 43.8 , 7 , 1 , 12.5 , 109 , 8 , 7.3 
248,류원석,23한, 4.25 , 1 , 2.0 , 8 , 34 , 4.25 , 40.9 , 9.1 , 22.7 , 27.3 , 64.7 , 35.3 , 38.2 , 12.5 , 15.4 , 7.1 , 88.9 , 35.7 , 1 , 0 , 0.0 , 11 , 1 , 9.1 
,이종민,23키, 4.25 , 11 , 13.2 , 72 , 306 , 4.25 , 24.7 , 12.4 , 32.0 , 30.9 , 58.2 , 41.8 , 43.8 , 18.1 , 16.4 , 8.8 , 80.4 , 31.1 , 8 , 2 , 20.0 , 153 , 16 , 10.5 
250,김강률,23두, 4.25 , 32 , 25.2 , 115 , 489 , 4.25 , 30.0 , 10.8 , 33.2 , 26.1 , 62.8 , 37.2 , 44.0 , 24.4 , 15.4 , 8.1 , 81.3 , 42.2 , 17 , 4 , 19.1 , 103 , 9 , 8.7 
251,이의리,23K, 4.26 , 28 , 131.2 , 598 , 2546 , 4.26 , 34.0 , 18.3 , 25.5 , 22.2 , 60.2 , 39.8 , 39.8 , 20.1 , 27.7 , 12.7 , 67.8 , 33.0 , 121 , 35 , 22.4 , 813 , 53 , 6.5 
252,이준호,23N, 4.26 , 17 , 31.2 , 144 , 614 , 4.26 , 31.8 , 9.9 , 28.5 , 29.9 , 57.8 , 42.2 , 39.4 , 20.8 , 14.5 , 6.9 , 82.5 , 36.0 , 13 , 6 , 31.6 , 331 , 25 , 7.6 
253,임준섭,23S, 4.30 , 41 , 32.2 , 155 , 666 , 4.30 , 29.2 , 13.3 , 29.7 , 27.9 , 58.7 , 41.3 , 41.6 , 21.3 , 18.8 , 9.3 , 79.3 , 32.8 , 21 , 5 , 19.2 , 280 , 18 , 6.4 
254,김진호,23N, 4.30 , 19 , 16.1 , 73 , 314 , 4.30 , 31.6 , 17.6 , 30.1 , 20.7 , 61.5 , 38.5 , 42.0 , 16.4 , 25.8 , 12.4 , 65.6 , 34.0 , 16 , 6 , 27.3 , 137 , 10 , 7.3 
,김기훈,23K, 4.30 , 29 , 31.1 , 156 , 671 , 4.30 , 27.4 , 18.4 , 28.8 , 25.4 , 53.4 , 46.7 , 38.8 , 23.1 , 25.4 , 11.4 , 74.0 , 37.5 , 18 , 8 , 30.8 , 312 , 22 , 7.1 
256,김명신,23두, 4.33 , 70 , 79.0 , 334 , 1445 , 4.33 , 27.0 , 13.8 , 33.6 , 25.6 , 63.7 , 36.3 , 46.5 , 27.0 , 18.9 , 10.5 , 80.3 , 34.4 , 41 , 24 , 36.9 , 484 , 34 , 7.0 
257,강효종,23L, 4.33 , 7 , 21.2 , 103 , 446 , 4.33 , 30.1 , 10.5 , 31.2 , 28.2 , 59.6 , 40.4 , 41.7 , 24.3 , 15.1 , 7.6 , 83.3 , 36.8 , 11 , 3 , 21.4 , 149 , 9 , 6.0 
258,백승우,23두, 4.33 , 6 , 4.0 , 18 , 78 , 4.33 , 35.0 , 10.0 , 22.5 , 32.5 , 51.3 , 48.7 , 33.3 , 0.0 , 15.4 , 6.2 , 90.0 , 44.4 , 1 , 0 , 0.0 , 49 , 4 , 8.2 
,박영완,23롯, 4.33 , 1 , 1.0 , 3 , 13 , 4.33 , 33.3 , 16.7 , 33.3 , 16.7 , 46.2 , 53.9 , 30.8 , 0.0 , 25.0 , 8.3 , 0.0 , 75.0 , 1 , 0 , 0.0 , 1 , 1 , 100.0 
,한두솔,23S, 4.33 , 1 , 1.0 , 6 , 26 , 4.33 , 28.6 , 42.9 , 14.3 , 14.3 , 53.9 , 46.2 , 38.5 , 33.3 , 60.0 , 25.0 , 60.0 , 44.4 , 2 , 0 , 0.0 , 2 , 0 , 0.0 
261,김재열,23K, 4.34 , 9 , 11.2 , 70 , 304 , 4.34 , 26.5 , 13.8 , 33.2 , 26.5 , 59.5 , 40.5 , 43.8 , 28.6 , 18.8 , 9.8 , 85.7 , 40.0 , 6 , 3 , 33.3 , 82 , 7 , 8.5 
262,이태연,23롯, 4.38 , 15 , 5.2 , 37 , 162 , 4.38 , 32.9 , 12.9 , 25.9 , 28.2 , 52.5 , 47.5 , 35.2 , 13.5 , 19.3 , 8.0 , 84.6 , 31.6 , 4 , 0 , 0.0 , 79 , 6 , 7.6 
263,심창민,23N, 4.39 , 5 , 3.1 , 18 , 79 , 4.39 , 31.7 , 34.2 , 17.1 , 17.1 , 51.9 , 48.1 , 35.4 , 38.9 , 50.0 , 19.4 , 54.6 , 47.6 , 3 , 2 , 40.0 , 7 , 0 , 0.0 
264,박준영,23한, 4.39 , 4 , 4.1 , 23 , 101 , 4.39 , 48.2 , 13.0 , 24.1 , 14.8 , 53.5 , 46.5 , 27.7 , 21.7 , 25.0 , 7.5 , 56.3 , 30.4 , 3 , 4 , 57.1 , 23 , 1 , 4.4 
265,정구범,23N, 4.47 , 4 , 12.2 , 64 , 286 , 4.47 , 25.8 , 10.1 , 35.2 , 28.9 , 55.6 , 44.4 , 41.3 , 23.4 , 13.6 , 6.7 , 87.0 , 29.0 , 4 , 2 , 33.3 , 88 , 12 , 13.6 
266,이상규,23L, 4.47 , 8 , 7.2 , 34 , 152 , 4.47 , 25.8 , 9.0 , 39.3 , 25.8 , 58.6 , 41.5 , 43.4 , 29.4 , 12.1 , 6.2 , 80.7 , 35.4 , 4 , 2 , 33.3 , 72 , 5 , 6.9 
267,나원탁,23롯, 4.50 , 1 , 0.2 , 6 , 27 , 4.50 , 46.7 , 20.0 , 6.7 , 26.7 , 55.6 , 44.4 , 29.6 , 0.0 , 37.5 , 13.0 , 66.7 , 50.0 , 1 , 0 , 0.0 , 7 , 1 , 14.3 
268,김유성,23두, 4.53 , 7 , 6.1 , 38 , 172 , 4.53 , 21.5 , 24.1 , 29.1 , 25.3 , 45.9 , 54.1 , 36.1 , 13.2 , 30.7 , 12.5 , 76.0 , 41.9 , 5 , 1 , 16.7 , 51 , 7 , 13.7 
269,윤산흠,23한, 4.61 , 5 , 3.0 , 18 , 83 , 4.61 , 37.5 , 17.5 , 22.5 , 22.5 , 48.2 , 51.8 , 30.1 , 11.1 , 28.0 , 9.5 , 75.0 , 33.3 , 3 , 0 , 0.0 , 20 , 2 , 10.0 
270,김동규,23L키, 4.61 , 4 , 4.1 , 31 , 143 , 4.61 , 27.0 , 12.7 , 34.9 , 25.4 , 44.1 , 55.9 , 32.2 , 19.4 , 17.4 , 6.3 , 81.3 , 52.9 , 1 , 0 , 0.0 , 64 , 6 , 9.4 
271,장세진,23롯, 4.63 , 2 , 1.1 , 8 , 37 , 4.63 , 17.7 , 23.5 , 29.4 , 29.4 , 46.0 , 54.1 , 37.8 , 0.0 , 28.6 , 12.5 , 75.0 , 0.0 , 0 , 1 , 100.0 , 20 , 3 , 15.0 
272,고효준,23S, 4.63 , 73 , 58.0 , 262 , 1214 , 4.63 , 34.7 , 16.2 , 27.8 , 21.4 , 58.2 , 41.9 , 38.0 , 18.3 , 24.7 , 10.7 , 71.1 , 38.8 , 46 , 20 , 30.3 , 525 , 27 , 5.1 
273,김시현,23삼, 4.65 , 2 , 3.0 , 17 , 79 , 4.65 , 26.7 , 11.1 , 33.3 , 28.9 , 57.0 , 43.0 , 41.8 , 17.7 , 15.2 , 7.6 , 84.6 , 48.0 , 1 , 1 , 50.0 , 25 , 3 , 12.0 
274,양지율,23키, 4.67 , 1 , 0.2 , 6 , 28 , 4.67 , 60.0 , 10.0 , 20.0 , 10.0 , 35.7 , 64.3 , 14.3 , 0.0 , 25.0 , 3.7 , 33.3 , 25.0 , 1 , 1 , 50.0 , 16 , 0 , 0.0 
,박세웅,23삼, 4.67 , 2 , 0.2 , 6 , 28 , 4.67 , 36.4 , 18.2 , 27.3 , 18.2 , 39.3 , 60.7 , 25.0 , 16.7 , 28.6 , 7.7 , 66.7 , 40.0 , 0 , 1 , 100.0 , 9 , 1 , 11.1 
276,김강현,23롯, 4.69 , 2 , 3.0 , 13 , 61 , 4.69 , 35.1 , 2.7 , 35.1 , 27.0 , 60.7 , 39.3 , 39.3 , 23.1 , 4.2 , 2.0 , 100.0 , 36.4 , 0 , 0 ,  , 12 , 1 , 8.3 
277,유승철,23K, 4.75 , 1 , 1.0 , 4 , 19 , 4.75 , 9.1 , 0.0 , 63.6 , 27.3 , 57.9 , 42.1 , 52.6 , 50.0 , 0.0 , 0.0 , 100.0 , 50.0 , 0 , 0 ,  , 0 , 0 ,  
278,임지민,23N, 4.80 , 2 , 1.1 , 10 , 48 , 4.80 , 45.5 , 13.6 , 27.3 , 13.6 , 45.8 , 54.2 , 25.0 , 20.0 , 25.0 , 6.7 , 57.1 , 41.7 , 2 , 1 , 33.3 , 17 , 0 , 0.0 
279,스미스,23한, 5.00 , 1 , 2.2 , 12 , 60 , 5.00 , 20.0 , 25.0 , 32.5 , 22.5 , 66.7 , 33.3 , 53.3 , 16.7 , 31.3 , 19.6 , 79.0 , 24.0 , 1 , 1 , 50.0 , 24 , 2 , 8.3 
280,김주한,23S, 5.33 , 1 , 0.0 , 3 , 16 , 5.33 , 11.1 , 33.3 , 33.3 , 22.2 , 56.3 , 43.8 , 50.0 , 33.3 , 37.5 , 21.4 , 100.0 , 50.0 , 0 , 0 ,  , 1 , 0 , 0.0 
,김영준,23L, 5.33 , 1 , 0.1 , 3 , 16 , 5.33 , 57.1 , 0.0 , 14.3 , 28.6 , 43.8 , 56.3 , 18.8 , 0.0 , 0.0 , 0.0 , 100.0 , 33.3 , 0 , 0 ,  , 2 , 0 , 0.0 
282,윤호솔,23L, 5.35 , 4 , 3.2 , 17 , 91 , 5.35 , 26.1 , 15.2 , 37.0 , 21.7 , 50.6 , 49.5 , 37.4 , 17.7 , 20.6 , 8.6 , 73.3 , 50.0 , 3 , 1 , 25.0 , 16 , 1 , 6.3 
283,이민석,23롯, 5.40 , 1 , 1.1 , 5 , 27 , 5.40 , 15.4 , 23.1 , 38.5 , 23.1 , 48.2 , 51.9 , 40.7 , 0.0 , 27.3 , 12.5 , 66.7 , 40.0 , 1 , 0 , 0.0 , 12 , 1 , 8.3 
284,김태욱,23롯, 5.67 , 1 , 1.0 , 3 , 17 , 5.67 , 11.1 , 0.0 , 55.6 , 33.3 , 52.9 , 47.1 , 47.1 , 33.3 , 0.0 , 0.0 , 100.0 , 42.9 , 0 , 0 ,  , 22 , 2 , 9.1 
285,하준수,23N, 6.60 , 1 , 1.0 , 5 , 33 , 6.60 , 22.2 , 22.2 , 44.4 , 11.1 , 54.6 , 45.5 , 42.4 , 0.0 , 28.6 , 12.9 , 87.5 , 38.5 , 1 , 0 , 0.0 , 12 , 1 , 8.3 