순,이름,팀/포지션,정렬용,출장,이닝,선발RAA,구원RAA,종합RAA,대체RUN선발,대체RUN구원,대체RUN종합,선발RAR,구원RAR,종합RAR,선발WAA,구원WAA,종합WAA,선발WAR,구원WAR,종합WAR,fWAR,RA9-WAR
193,김건국,23K, -0.07 , 6 , 16.0 , -2.48 , -0.41 , -2.90 , 2.03 , 0.13 , 2.62 , 0.05 , -0.12 , -0.07 , -0.26 , -0.02 , -0.28 , -0.06 , -0.01 , -0.07 , -0.07 , -0.07 
194,김민수,23K, -0.07 , 14 , 13.0 ,  , -2.63 , -2.63 , 0.00 , 1.72 , 1.67 ,  , -0.38 , -0.38 , 0.00 , -0.25 , -0.25 , 0.00 , -0.07 , -0.07 , -0.07 , -0.07 
195,슐서,23K, -0.08 , 9 , 49.2 , -7.21 ,  , -7.21 , 6.87 , 0.00 , 8.59 , 1.37 ,  , 1.37 , -0.74 ,  , -0.74 , -0.08 ,  , -0.08 , -0.08 , -0.08 
196,장세진,23롯, -0.08 , 2 , 1.1 ,  , -1.33 , -1.33 , 0.00 , 0.18 , 0.17 ,  , -0.82 , -0.82 , 0.00 , -0.10 , -0.10 , 0.00 , -0.08 , -0.08 , -0.08 , -0.08 
197,최충연,23삼, -0.08 , 7 , 9.1 ,  , -2.95 , -2.95 , 0.00 , 1.26 , 0.97 ,  , -0.86 , -0.86 , 0.00 , -0.21 , -0.21 , 0.00 , -0.08 , -0.08 , -0.08 , -0.08 
198,박진,23롯, -0.08 , 4 , 5.0 ,  , -2.46 , -2.46 , 0.00 , 0.68 , 0.49 ,  , -0.91 , -0.91 , 0.00 , -0.15 , -0.15 , 0.00 , -0.08 , -0.08 , -0.08 , -0.08 
199,조성훈,23S, -0.09 , 2 , 7.0 , -1.80 ,  , -1.80 , 0.98 , 0.00 , 1.22 , -0.58 ,  , -0.58 , -0.18 ,  , -0.18 , -0.09 ,  , -0.09 , -0.09 , -0.09 
200,김태오,23K, -0.09 , 5 , 7.1 ,  , -2.49 , -2.49 , 0.00 , 0.99 , 0.84 ,  , -0.85 , -0.85 , 0.00 , -0.19 , -0.19 , 0.00 , -0.09 , -0.09 , -0.09 , -0.09 
201,김정우,23두, -0.09 , 7 , 6.2 ,  , -3.01 , -3.01 , 0.00 , 0.90 , 0.60 ,  , -1.01 , -1.01 , 0.00 , -0.18 , -0.18 , 0.00 , -0.09 , -0.09 , -0.09 , -0.09 
202,김호준,23두, -0.09 , 3 , 3.0 ,  , -2.52 , -2.52 , 0.00 , 0.42 , 0.26 ,  , -1.02 , -1.02 , 0.00 , -0.13 , -0.13 , 0.00 , -0.09 , -0.09 , -0.09 , -0.09 
203,박명근,23L, -0.09 , 57 , 51.1 , -0.56 , -4.61 , -5.17 , 0.41 , 6.34 , 10.24 , -0.05 , 4.07 , 4.02 , -0.06 , -0.72 , -0.78 , -0.02 , -0.07 , -0.09 , -0.09 , -0.09 
204,김서준,23삼, -0.09 , 8 , 7.2 , -4.38 , 2.61 , -1.77 , 0.17 , 0.84 , 0.85 , -4.17 , 2.20 , -1.97 , -0.34 , 0.14 , -0.20 , -0.33 , 0.23 , -0.09 , -0.09 , -0.09 
205,진승현,23롯, -0.10 , 24 , 27.2 ,  , -4.53 , -4.53 , 0.00 , 3.66 , 3.83 ,  , 0.03 , 0.03 , 0.00 , -0.46 , -0.46 , 0.00 , -0.10 , -0.10 , -0.10 , -0.10 
206,오상원,23키, -0.10 , 11 , 15.0 , -2.20 , -1.14 , -3.35 , 0.25 , 1.75 , 1.49 , -1.89 , 0.56 , -1.32 , -0.19 , -0.10 , -0.30 , -0.17 , 0.08 , -0.10 , -0.10 , -0.10 
207,윤산흠,23한, -0.10 , 5 , 3.0 ,  , -0.58 , -0.58 , 0.00 , 0.39 , 1.08 ,  , -0.19 , -0.19 , 0.00 , -0.14 , -0.14 , 0.00 , -0.10 , -0.10 , -0.10 , -0.10 
208,류희운,23한, -0.10 , 3 , 4.0 ,  , -2.88 , -2.88 , 0.00 , 0.56 , 0.37 ,  , -1.16 , -1.16 , 0.00 , -0.16 , -0.16 , 0.00 , -0.10 , -0.10 , -0.10 , -0.10 
209,제환유,23두, -0.11 , 1 , 2.0 ,  , -3.03 , -3.03 , 0.00 , 0.32 , 0.21 ,  , -1.35 , -1.35 , 0.00 , -0.13 , -0.13 , 0.00 , -0.11 , -0.11 , -0.11 , -0.11 
210,나원탁,23롯, -0.11 , 1 , 0.2 ,  , -2.71 , -2.71 , 0.00 , 0.10 , 0.07 ,  , -1.32 , -1.32 , 0.00 , -0.12 , -0.12 , 0.00 , -0.11 , -0.11 , -0.11 , -0.11 
211,이채호,23K, -0.11 , 25 , 24.2 ,  , -5.28 , -5.28 , 0.00 , 3.27 , 2.82 ,  , -0.83 , -0.83 , 0.00 , -0.44 , -0.44 , 0.00 , -0.11 , -0.11 , -0.11 , -0.11 
212,장민재,23한, -0.12 , 25 , 69.0 , -13.08 , 2.36 , -10.71 , 8.00 , 1.54 , 12.34 , -3.08 , 5.21 , 2.14 , -1.30 , 0.26 , -1.04 , -0.54 , 0.42 , -0.12 , -0.12 , -0.12 
213,박세웅,23삼, -0.12 , 2 , 0.2 ,  , -1.61 , -1.61 , 0.00 , 0.09 , 0.09 ,  , -1.19 , -1.19 , 0.00 , -0.12 , -0.12 , 0.00 , -0.12 , -0.12 , -0.12 , -0.12 
214,김주온,23S, -0.12 , 1 , 0.1 ,  , -2.82 , -2.82 , 0.00 , 0.05 , 0.03 ,  , -1.38 , -1.38 , 0.00 , -0.12 , -0.12 , 0.00 , -0.12 , -0.12 , -0.12 , -0.12 
215,와이드너,23N삼, -0.12 , 21 , 115.0 ,  ,  , 0.00 , 14.73 , 0.26 , 18.77 ,  ,  , 0.00 , -0.12 ,  , -0.12 , -0.12 ,  , -0.12 , -0.12 , -0.12 
216,김시현,23삼, -0.12 , 2 , 3.0 ,  , -3.31 , -3.31 , 0.00 , 0.44 , 0.28 ,  , -1.41 , -1.41 , 0.00 , -0.16 , -0.16 , 0.00 , -0.12 , -0.12 , -0.12 , -0.12 
217,이준호,23N, -0.13 , 17 , 31.2 , -6.98 , 1.39 , -5.59 , 0.98 , 3.32 , 4.10 , -5.75 , 3.83 , -1.92 , -0.57 , 0.02 , -0.55 , -0.49 , 0.36 , -0.13 , -0.13 , -0.13 
218,장지수,23한, -0.14 , 1 , 2.0 ,  , -3.91 , -3.91 , 0.00 , 0.34 , 0.22 ,  , -1.82 , -1.82 , 0.00 , -0.17 , -0.17 , 0.00 , -0.14 , -0.14 , -0.14 , -0.14 
219,이승진,23두, -0.15 , 1 , 0.2 ,  , -3.71 , -3.71 , 0.00 , 0.11 , 0.07 ,  , -1.87 , -1.87 , 0.00 , -0.16 , -0.16 , 0.00 , -0.15 , -0.15 , -0.15 , -0.15 
220,김유성,23두, -0.15 , 7 , 6.1 ,  , -3.74 , -3.74 , 0.00 , 0.86 , 0.63 ,  , -1.57 , -1.57 , 0.00 , -0.23 , -0.23 , 0.00 , -0.15 , -0.15 , -0.15 , -0.15 
221,최이준,23롯, -0.15 , 28 , 29.0 ,  , -6.09 , -6.09 , 0.00 , 3.84 , 3.56 ,  , -0.95 , -0.95 , 0.00 , -0.54 , -0.54 , 0.00 , -0.15 , -0.15 , -0.15 , -0.15 
222,장원준,23두, -0.17 , 11 , 41.0 , -6.67 , -0.32 , -6.99 , 5.43 , 0.18 , 6.95 , 0.13 , -0.07 , 0.06 , -0.69 , -0.03 , -0.71 , -0.16 , -0.01 , -0.17 , -0.17 , -0.17 
223,윤명준,23롯, -0.17 , 21 , 19.1 ,  , -3.63 , -3.63 , 0.00 , 2.55 , 3.27 ,  , -0.45 , -0.45 , 0.00 , -0.43 , -0.43 , 0.00 , -0.17 , -0.17 , -0.17 , -0.17 
224,조이현,23K, -0.17 , 18 , 35.0 , -0.02 , -8.45 , -8.47 , 1.78 , 2.91 , 4.71 , 2.21 , -3.29 , -1.08 , -0.02 , -0.63 , -0.64 , 0.17 , -0.34 , -0.17 , -0.17 , -0.17 
225,배민서,23N, -0.18 , 6 , 6.2 ,  , -4.77 , -4.77 , 0.00 , 0.92 , 0.63 ,  , -1.98 , -1.98 , 0.00 , -0.27 , -0.27 , 0.00 , -0.18 , -0.18 , -0.18 , -0.18 
226,김건희,23키, -0.18 , 3 , 2.0 ,  , -4.04 , -4.04 , 0.00 , 0.29 , 0.19 ,  , -1.99 , -1.99 , 0.00 , -0.21 , -0.21 , 0.00 , -0.18 , -0.18 , -0.18 , -0.18 
227,김기훈,23K, -0.18 , 29 , 31.1 ,  , -6.35 , -6.35 , 0.00 , 4.15 , 4.13 ,  , -0.92 , -0.92 , 0.00 , -0.60 , -0.60 , 0.00 , -0.18 , -0.18 , -0.18 , -0.18 
228,이충호,23한, -0.18 , 11 , 8.2 ,  , -4.26 , -4.26 , 0.00 , 1.16 , 0.94 ,  , -1.83 , -1.83 , 0.00 , -0.30 , -0.30 , 0.00 , -0.18 , -0.18 , -0.18 , -0.18 
229,곽도규,23K, -0.19 , 14 , 11.2 ,  , -5.07 , -5.07 , 0.00 , 1.56 , 1.20 ,  , -1.92 , -1.92 , 0.00 , -0.34 , -0.34 , 0.00 , -0.19 , -0.19 , -0.19 , -0.19 
230,김대현,23L, -0.19 , 5 , 3.1 ,  , -3.35 , -3.35 , 0.00 , 0.46 , 0.40 ,  , -1.93 , -1.93 , 0.00 , -0.24 , -0.24 , 0.00 , -0.19 , -0.19 , -0.19 , -0.19 
231,노건우,23삼, -0.20 , 16 , 12.1 ,  , -4.50 , -4.50 , 0.00 , 1.64 , 1.49 ,  , -1.77 , -1.77 , 0.00 , -0.36 , -0.36 , 0.00 , -0.20 , -0.20 , -0.20 , -0.20 
232,이민호,23L, -0.20 , 5 , 19.2 , -4.64 ,  , -4.64 , 2.74 , 0.00 , 3.43 , -1.20 ,  , -1.20 , -0.46 ,  , -0.46 , -0.20 ,  , -0.20 , -0.20 , -0.20 
233,이영하,23두, -0.20 , 36 , 39.1 ,  , -6.11 , -6.11 , 0.00 , 5.19 , 6.40 ,  , 0.38 , 0.38 , 0.00 , -0.72 , -0.72 , 0.00 , -0.20 , -0.20 , -0.20 , -0.20 
234,이원재,23두, -0.21 , 1 , 1.0 , -2.65 ,  , -2.65 , 0.16 , 0.00 , 0.20 , -2.45 ,  , -2.45 , -0.23 ,  , -0.23 , -0.21 ,  , -0.21 , -0.21 , -0.21 
235,한현희,23롯, -0.22 , 38 , 104.0 , -10.16 , -4.41 , -14.57 , 11.74 , 2.34 , 17.77 , 4.51 , -1.57 , 2.95 , -1.08 , -0.52 , -1.60 , 0.07 , -0.29 , -0.22 , -0.22 , -0.22 
236,최성훈,23L, -0.22 , 5 , 3.0 ,  , -3.76 , -3.76 , 0.00 , 0.41 , 0.36 ,  , -2.24 , -2.24 , 0.00 , -0.26 , -0.26 , 0.00 , -0.22 , -0.22 , -0.22 , -0.22 
237,양현,23키, -0.23 , 54 , 57.0 ,  , -8.59 , -8.59 , 0.00 , 7.52 , 8.84 ,  , 0.76 , 0.76 , 0.00 , -0.99 , -0.99 , 0.00 , -0.23 , -0.23 , -0.23 , -0.23 
238,정구범,23N, -0.23 , 4 , 12.2 , -2.99 , -2.06 , -5.05 , 1.26 , 0.56 , 1.96 , -1.42 , -0.75 , -2.17 , -0.28 , -0.12 , -0.40 , -0.17 , -0.07 , -0.23 , -0.23 , -0.23 
239,임준섭,23S, -0.24 , 41 , 32.2 ,  , -6.91 , -6.91 , 0.00 , 4.31 , 4.47 ,  , -1.26 , -1.26 , 0.00 , -0.67 , -0.67 , 0.00 , -0.24 , -0.24 , -0.24 , -0.24 
240,박윤철,23한, -0.25 , 3 , 3.1 ,  , -6.23 , -6.23 , 0.00 , 0.50 , 0.32 ,  , -2.86 , -2.86 , 0.00 , -0.29 , -0.29 , 0.00 , -0.25 , -0.25 , -0.25 , -0.25 
241,이형범,23두, -0.25 , 23 , 27.2 ,  , -7.70 , -7.70 , 0.00 , 3.70 , 3.24 ,  , -2.16 , -2.16 , 0.00 , -0.62 , -0.62 , 0.00 , -0.25 , -0.25 , -0.25 , -0.25 
242,허윤동,23삼, -0.26 , 7 , 10.2 , -2.12 , -3.08 , -5.20 , 0.45 , 1.04 , 1.36 , -1.56 , -1.09 , -2.65 , -0.19 , -0.21 , -0.40 , -0.15 , -0.11 , -0.26 , -0.26 , -0.26 
243,김재영,23한, -0.26 , 6 , 8.0 ,  , -5.22 , -5.22 , 0.00 , 1.11 , 0.95 ,  , -2.61 , -2.61 , 0.00 , -0.36 , -0.36 , 0.00 , -0.26 , -0.26 , -0.26 , -0.26 
244,송영진,23S, -0.27 , 17 , 47.1 , -9.28 , 0.69 , -8.59 , 5.01 , 1.51 , 7.61 , -3.01 , 1.84 , -1.17 , -0.91 , 0.02 , -0.90 , -0.44 , 0.17 , -0.27 , -0.27 , -0.27 
245,박준영,23한, -0.30 , 4 , 4.1 ,  , -6.86 , -6.86 , 0.00 , 0.64 , 0.44 ,  , -3.35 , -3.35 , 0.00 , -0.35 , -0.35 , 0.00 , -0.30 , -0.30 , -0.30 , -0.30 
246,장필준,23삼, -0.30 , 17 , 19.1 , -4.56 , -1.25 , -5.81 , 0.87 , 1.75 , 2.72 , -3.47 , 0.70 , -2.77 , -0.42 , -0.13 , -0.56 , -0.34 , 0.04 , -0.30 , -0.30 , -0.30 
247,김진욱,23롯, -0.32 , 50 , 36.1 ,  , -7.27 , -7.27 , 0.00 , 4.79 , 5.64 ,  , -1.21 , -1.21 , 0.00 , -0.80 , -0.80 , 0.00 , -0.32 , -0.32 , -0.32 , -0.32 
248,정성곤,23S, -0.32 , 6 , 4.1 ,  , -6.58 , -6.58 , 0.00 , 0.61 , 0.46 ,  , -3.46 , -3.46 , 0.00 , -0.38 , -0.38 , 0.00 , -0.32 , -0.32 , -0.32 , -0.32 
249,딜런,23두, -0.32 , 2 , 9.0 , -5.08 ,  , -5.08 , 1.40 , 0.00 , 1.75 , -3.33 ,  , -3.33 , -0.44 ,  , -0.44 , -0.32 ,  , -0.32 , -0.32 , -0.32 
250,이지강,23L, -0.33 , 22 , 68.0 , -14.19 , 2.56 , -11.63 , 7.29 , 2.13 , 11.09 , -5.07 , 3.87 , -1.20 , -1.38 , 0.15 , -1.23 , -0.70 , 0.37 , -0.33 , -0.33 , -0.33 
251,한승혁,23한, -0.34 , 21 , 36.1 , -6.96 , -1.19 , -8.15 , 3.04 , 1.92 , 5.66 , -3.16 , 0.94 , -2.22 , -0.68 , -0.14 , -0.82 , -0.39 , 0.06 , -0.34 , -0.34 , -0.34 
252,이종민,23키, -0.36 , 11 , 13.2 , -6.27 , 0.13 , -6.14 , 0.59 , 1.30 , 1.71 , -5.53 , 1.05 , -4.48 , -0.52 , -0.02 , -0.55 , -0.47 , 0.11 , -0.36 , -0.36 , -0.36 
253,강재민,23한, -0.37 , 43 , 43.1 ,  , -6.95 , -6.95 , 0.00 , 5.72 , 8.31 ,  , 0.23 , 0.23 , 0.00 , -0.94 , -0.94 , 0.00 , -0.37 , -0.37 , -0.37 , -0.37 
254,황동하,23K, -0.42 , 13 , 31.1 , -8.08 , -0.37 , -8.45 , 3.02 , 1.35 , 5.34 , -4.31 , 1.22 , -3.09 , -0.77 , -0.07 , -0.84 , -0.49 , 0.07 , -0.42 , -0.42 , -0.42 
255,이영준,23키, -0.42 , 2 , 1.2 ,  , -3.23 , -3.23 , 0.00 , 0.24 , 0.46 ,  , -4.39 , -4.39 , 0.00 , -0.45 , -0.45 , 0.00 , -0.42 , -0.42 , -0.42 , -0.42 
256,문경찬,23롯, -0.45 , 2 , 2.0 ,  , -5.01 , -5.01 , 0.00 , 0.31 , 0.42 ,  , -5.01 , -5.01 , 0.00 , -0.47 , -0.47 , 0.00 , -0.45 , -0.45 , -0.45 , -0.45 
257,강효종,23L, -0.45 , 7 , 21.2 , -7.61 ,  , -7.61 , 3.06 , 0.00 , 3.82 , -3.78 ,  , -3.78 , -0.74 ,  , -0.74 , -0.45 ,  , -0.45 , -0.45 , -0.45 
258,김서현,23한, -0.45 , 20 , 22.1 , -1.94 , -5.81 , -7.75 , 0.30 , 2.71 , 3.38 , -1.57 , -2.14 , -3.71 , -0.18 , -0.57 , -0.75 , -0.15 , -0.30 , -0.45 , -0.45 , -0.45 
259,하영민,23키, -0.46 , 57 , 52.1 ,  , -9.00 , -9.00 , 0.00 , 6.90 , 9.49 ,  , -0.41 , -0.41 , 0.00 , -1.16 , -1.16 , 0.00 , -0.46 , -0.46 , -0.46 , -0.46 
260,이태연,23롯, -0.48 , 15 , 5.2 ,  , -7.16 , -7.16 , 0.00 , 0.77 , 0.73 ,  , -4.76 , -4.76 , 0.00 , -0.56 , -0.56 , 0.00 , -0.48 , -0.48 , -0.48 , -0.48 
261,최영환,23롯, -0.51 , 8 , 10.0 ,  , -8.30 , -8.30 , 0.00 , 1.41 , 1.37 ,  , -5.09 , -5.09 , 0.00 , -0.64 , -0.64 , 0.00 , -0.51 , -0.51 , -0.51 , -0.51 
262,남지민,23한, -0.52 , 16 , 37.2 , -5.39 , -4.98 , -10.37 , 3.73 , 1.45 , 6.29 , -0.73 , -2.85 , -3.59 , -0.55 , -0.47 , -1.02 , -0.19 , -0.33 , -0.52 , -0.52 , -0.52 
263,소형준,23K, -0.53 , 3 , 11.0 , -7.73 ,  , -7.73 , 1.71 , 0.00 , 2.14 , -5.59 ,  , -5.59 , -0.67 ,  , -0.67 , -0.53 ,  , -0.53 , -0.53 , -0.53 
264,주승우,23키, -0.53 , 11 , 16.0 , -3.57 , -6.39 , -9.96 , 0.74 , 1.51 , 2.10 , -2.65 , -2.81 , -5.45 , -0.33 , -0.42 , -0.74 , -0.26 , -0.27 , -0.53 , -0.53 , -0.53 
265,김동규,23L키, -0.54 , 4 , 4.1 , -3.91 , -5.69 , -9.59 , 0.34 , 0.35 , 0.66 , -3.49 , -2.87 , -6.36 , -0.31 , -0.28 , -0.60 , -0.29 , -0.25 , -0.54 , -0.54 , -0.54 
266,이상민,23삼, -0.54 , 23 , 18.0 ,  , -7.40 , -7.40 , 0.00 , 2.40 , 2.96 ,  , -4.33 , -4.33 , 0.00 , -0.78 , -0.78 , 0.00 , -0.54 , -0.54 , -0.54 , -0.54 
267,박종훈,23S, -0.55 , 18 , 80.0 , -12.64 , -5.43 , -18.07 , 10.64 , 0.47 , 13.71 , 0.66 , -3.33 , -2.66 , -1.29 , -0.32 , -1.62 , -0.27 , -0.28 , -0.55 , -0.55 , -0.55 
268,산체스,23K, -0.57 , 12 , 63.2 , -12.11 , -3.69 , -15.80 , 8.62 , 0.44 , 11.16 , -1.34 , -2.19 , -3.53 , -1.20 , -0.21 , -1.41 , -0.39 , -0.18 , -0.57 , -0.57 , -0.57 
269,황동재,23삼, -0.58 , 7 , 31.2 , -10.64 ,  , -10.64 , 4.60 , 0.00 , 5.75 , -4.89 ,  , -4.89 , -1.01 ,  , -1.01 , -0.58 ,  , -0.58 , -0.58 , -0.58 
270,메디나,23K, -0.62 , 12 , 58.0 , -14.31 ,  , -14.31 , 8.25 , 0.00 , 10.31 , -4.00 ,  , -4.00 , -1.40 ,  , -1.40 , -0.62 ,  , -0.62 , -0.62 , -0.62 
271,원종현,23키, -0.64 , 20 , 18.2 ,  , -6.47 , -6.47 , 0.00 , 2.49 , 4.03 ,  , -4.34 , -4.34 , 0.00 , -0.89 , -0.89 , 0.00 , -0.64 , -0.64 , -0.64 , -0.64 
272,김민,23K, -0.64 , 16 , 29.0 , -8.09 , -3.99 , -12.08 , 2.20 , 1.92 , 4.29 , -5.34 , -1.02 , -6.36 , -0.73 , -0.30 , -1.03 , -0.54 , -0.11 , -0.64 , -0.64 , -0.64 
273,변시원,23키, -0.69 , 4 , 2.1 ,  , -9.62 , -9.62 , 0.00 , 0.36 , 0.39 ,  , -7.87 , -7.87 , 0.00 , -0.72 , -0.72 , 0.00 , -0.69 , -0.69 , -0.69 , -0.69 
274,최하늘,23삼, -0.71 , 3 , 6.1 , -7.12 , -3.59 , -10.71 , 0.93 , 0.11 , 1.26 , -5.95 , -2.46 , -8.41 , -0.58 , -0.21 , -0.79 , -0.51 , -0.20 , -0.71 , -0.71 , -0.71 
275,김재열,23K, -0.71 , 9 , 11.2 ,  , -11.04 , -11.04 , 0.00 , 1.66 , 1.68 ,  , -7.24 , -7.24 , 0.00 , -0.87 , -0.87 , 0.00 , -0.71 , -0.71 , -0.71 , -0.71 
276,김선기,23키, -0.73 , 17 , 43.2 , -6.25 , -9.09 , -15.34 , 4.73 , 1.35 , 7.18 , -0.34 , -5.56 , -5.89 , -0.63 , -0.68 , -1.31 , -0.18 , -0.55 , -0.73 , -0.73 , -0.73 
277,양창섭,23삼, -0.77 , 15 , 28.2 , -13.12 , -0.22 , -13.34 , 2.65 , 1.61 , 5.04 , -9.82 , 1.54 , -8.28 , -1.09 , -0.06 , -1.15 , -0.88 , 0.11 , -0.77 , -0.77 , -0.77 
278,맥키니,23키, -0.77 , 12 , 59.1 , -16.20 ,  , -16.20 , 8.53 , 0.00 , 10.66 , -5.54 ,  , -5.54 , -1.56 ,  , -1.56 , -0.77 ,  , -0.77 , -0.77 , -0.77 
279,최채흥,23삼, -0.79 , 15 , 63.1 , -15.76 , -1.21 , -16.97 , 8.77 , 0.19 , 11.16 , -4.79 , -0.78 , -5.57 , -1.54 , -0.09 , -1.64 , -0.72 , -0.08 , -0.79 , -0.79 , -0.79 
280,이인복,23롯, -0.80 , 10 , 33.1 , -12.73 , -0.69 , -13.42 , 4.35 , 0.53 , 6.05 , -7.29 , -0.03 , -7.32 , -1.17 , -0.08 , -1.25 , -0.78 , -0.02 , -0.80 , -0.80 , -0.80 
281,홍정우,23삼, -0.81 , 36 , 36.0 , -2.11 , -9.61 , -11.72 , 0.25 , 4.57 , 6.25 , -1.80 , -4.05 , -5.85 , -0.19 , -1.10 , -1.29 , -0.17 , -0.64 , -0.81 , -0.81 , -0.81 
282,김동혁,23키, -0.81 , 35 , 39.1 , -7.56 , -6.03 , -13.59 , 0.83 , 4.54 , 6.86 , -6.52 , -0.36 , -6.89 , -0.61 , -0.72 , -1.33 , -0.54 , -0.27 , -0.81 , -0.81 , -0.81 
283,정우영,23L, -0.88 , 60 , 51.2 ,  , -13.00 , -13.00 , 0.00 , 6.85 , 9.27 ,  , -4.81 , -4.81 , 0.00 , -1.57 , -1.57 , 0.00 , -0.88 , -0.88 , -0.88 , -0.88 
284,김민우,23한, -1.06 , 12 , 51.2 , -18.61 ,  , -18.61 , 7.53 , 0.00 , 9.41 , -9.20 ,  , -9.20 , -1.75 ,  , -1.75 , -1.06 ,  , -1.06 , -1.06 , -1.06 
285,김태훈,23키삼, -1.54 , 71 , 63.1 ,  , -19.38 , -19.38 , 0.00 , 8.43 , 11.91 ,  , -10.00 , -10.00 , 0.00 , -2.38 , -2.38 , 0.00 , -1.54 , -1.54 , -1.54 , -1.54 
